X,Y,OBJECTID,NAME,LOCATION,CITY,PUBLIC_OWN,DEDICATED,CONTRACT,TOTAL_AUTO_SPACES,COVERED_SPACES,TOTAL_BIKE_SPACES,BIKE_LOCKERS,BIKE_RACKS,ROUTE_1,ROUTE_2,ROUTE_3,ROUTE_4,ROUTE_5,ROUTE_6,ROUTE_7,ROUTE_8,Long,Lat,Address
-112.011482813614,33.5806467008671,36,Shea/SR-51 (Dreamy Draw) Park-and-Ride,32nd St and Shea Blvd,Phoenix,Yes,Yes,No,370,344,19,5,14,SR 51 RAPID,16,39,80,NA,NA,NA,NA,-112.01148281,33.5806467,10418 N 33rd St
-112.239807197139,33.5799338740839,37,Peoria Park-and-Ride,Jefferson St and  84th Ave,Peoria,Yes,Yes,No,82,0,12,0,6,Grand Ave Limited,83,106,NA,NA,NA,NA,NA,-112.2398072,33.57993387,8410 W Jefferson St
-112.11764345416,33.6388033555736,38,Bell/I-17 (Deer Valley) Park-and-Ride,Bell Road and 29th Ave,Phoenix,Yes,Yes,No,350,340,15,8,7,I-17 RAPID,27,170,NA,NA,NA,NA,NA,-112.11764345,33.63880336,16808 N Black Canyon Hwy
-112.004475351926,33.6392666120076,39,Bell Rd/SR 51 Park-and-Ride,36th St and Bell Rd,Phoenix,Yes,Yes,No,377,377,10,10,0,SR 51 RAPID,170,NA,NA,NA,NA,NA,NA,-112.00447535,33.63926661,3598 E Phelps Rd
-111.998888615988,33.2932602838281,40,40th St and Pecos Rd Park-and-Ride,40th St and Pecos Rd,Phoenix,Yes,Yes,No,906,562,12,12,0,I-10 East Rapid,ALEX,NA,NA,NA,NA,NA,NA,-111.99888862,33.29326028,16864 S 40th St
-112.069099736866,33.5668523241792,41,Sunnyslope TC &  Park-and-Ride,3rd St and Dunlap Ave,Phoenix,Yes,Yes,No,45,45,4,4,0,SMART,0,8,12,90,106,NA,NA,-112.06909974,33.56685232,8930 N 3rd St
-112.228516171383,33.4644816725258,42,79th Ave/ I-10 Park-and-Ride,79th Ave and McDowell Rd,Phoenix,Yes,Yes,No,607,607,14,4,10,I-10 West RAPID,17,NA,NA,NA,NA,NA,NA,-112.22851617,33.46448167,1509 N 79th Ave
-112.305150725118,33.4562297150838,43,Avondale Park-and-Ride,Avondale Blvd and Roosevelt St,Avondale,Yes,Yes,No,370,107,0,6,0,563,NA,NA,NA,NA,NA,NA,NA,-112.30515073,33.45622972,11390 W Dale Earnhardt Dr
-112.480129904903,33.4689760517465,44,Buckeye Park-and-Ride,Jackrabbit Trail and Palm Ln,Buckeye,Yes,Yes,No,250,80,0,0,0,563,NA,NA,NA,NA,NA,NA,NA,-112.4801299,33.46897605,1901 N Jackrabbit Trail
-111.833661750318,33.2757077283999,45,Chandler Park-and-Ride,Hamilton St and Germann Rd,Chandler,Yes,Yes,No,460,156,11,4,7,542,112,NA,NA,NA,NA,NA,NA,-111.83366175,33.27570773,2100 S Hamilton St
-111.792538988622,33.3548735826695,46,Gilbert Park-and-Ride,Page Ave and Oak St,Gilbert,Yes,No,No,250,85,18,6,12,136,531,NA,NA,NA,NA,NA,NA,-111.79253899,33.35487358,216 N Oak St
-112.271586943258,33.5389116708925,47,Glendale Park-and-Ride,99th Ave and Glendale Ave,Glendale,Yes,Yes,No,388,345,8,4,4,573,70,NA,NA,NA,NA,NA,NA,-112.27158694,33.53891167,7099 N 99th Ave
-112.343578031565,33.4600024844954,48,Goodyear Park-and-Ride,Cornerstone Blvd and Dysart Rd,Goodyear,Yes,Yes,No,400,328,8,8,0,562,NA,NA,NA,NA,NA,NA,NA,-112.34357803,33.46000248,13183 W Cornerstone Blvd
-111.6888048665,33.3874758932061,49,Superstitions Springs Park-and-Ride,Southern Ave and Power Rd,Mesa,Yes,Yes,No,200,0,20,8,12,40,45,61,108,184,533,NA,NA,-111.68880487,33.38747589,6555 E Southern Ave
-111.870359143975,33.4165064123821,50,Main St. & Sycamore Park-and-Ride,Main St and Sycamore,Mesa,Yes,Yes,No,802,0,13,1,12,Light Rail,30,40,96,NA,NA,NA,NA,-111.87035914,33.41650641,107 N Sycamore
-111.683506487252,33.4715251966722,51,Power Rd Park-and-Ride,Power Rd and Preston St,Mesa,Yes,Yes,No,194,23,24,12,12,184,535,NA,NA,NA,NA,NA,NA,-111.68350649,33.4715252,3201 N Power Rd
-111.786053249425,33.4673866160336,52,Gilbert Rd and McDowell Rd Park-and-Ride,Gilbert Rd and McDowell Rd,Mesa,Yes,Yes,No,220,0,16,8,8,136,535,NA,NA,NA,NA,NA,NA,-111.78605325,33.46738662,2831 N Gilbert Road 
-111.841772073491,33.3815856224945,53,West Mesa Park-and-Ride,Juanita Ave/Country Club Dr,Mesa,Yes,Yes,No,305,0,20,8,12,521,541,NA,NA,NA,NA,NA,NA,-111.84177207,33.38158562,461 W Juanita Ave
-111.790021761068,33.4150112839638,54,Gilbert Rd/Main St Park and Ride,Gilbert Rd and Main St,Mesa,Yes,Yes,No,,,,,,40,45,136,NA,NA,NA,NA,NA,-111.79002176,33.41501128,
