OBJECTID,StopID,NextRide,Location,Juris,Photo,Routes,Day_Category,Q2016_2,Q2016_3,Q2016_4,Q2017_1,Q2017_2,Q2017_3,Q2017_4,Q2018_12,Q2018_2,Q2018_3,Q42018,Q2019_1,Q2019_2
93,3481,12584,POWER RD & SOUTHERN AVE,Mesa,https://farm9.staticflickr.com/8696/16761457279_b6707da817_o.jpg,40 | 45 | 184,Weekend,22,21,20,36,23,33,45,60,33,68,33,36,38
94,3106,16102,STAPLEY DR & MCLELLAN RD,Mesa,https://farm8.staticflickr.com/7386/16311384639_158aebb689_o.jpg,128,Weekend,0,0,0,0,,0,0,0,,,,0,0
95,3031,12129,POWER RD & MAIN ST,Mesa,https://farm8.staticflickr.com/7423/16311410109_9e4cac3619_o.jpg,30 | 184,Weekend,7,7,7,9,6,11,16,15,8,10,7,6,7
96,8878,16735,Power Rd & Warner Rd,Mesa,https://farm8.staticflickr.com/7330/16311392039_81119234a2_o.jpg,184,Weekend,4,4,4,2,2,4,4,5,2,2,4,3,2
97,3363,16197,GILBERT RD & HAMPTON AVE,Mesa,https://farm8.staticflickr.com/7428/16311754937_871ca61f69_o.jpg,136,Weekend,1,1,1,1,1,1,1,1,1,1,1,1,1
98,5506,16255,BROWN RD & MIRA MAR CIR,Mesa,https://farm8.staticflickr.com/7304/16497675975_9aa469f8b9_o.jpg,136,Weekend,,,,,,,,,,,0,,
99,2898,16205,MAIN ST & UNIVERSITY DR,Mesa,https://farm9.staticflickr.com/8613/16471686496_731e49ba79_o.jpg,136,Weekend,1,1,1,1,0,0,1,1,0,0,0,0,
100,4724,16750,POWER RD & UNIVERSITY DR,Mesa,https://farm8.staticflickr.com/7340/15875119424_8e2f088937_o.jpg,184,Weekend,8,7,7,8,6,9,10,16,9,12,9,7,7
101,4608,16239,GILBERT RD & MCKELLIPS RD,Mesa,https://farm9.staticflickr.com/8644/16311728227_9fee1c3325_o.jpg,136,Weekend,3,3,3,2,2,3,3,6,3,2,3,3,4
102,3474,12585,POWER RD & VIA ROSSMOOR BLVD,Mesa,https://farm8.staticflickr.com/7285/16495944741_12a42f7ca7_o.jpg,40 | 45 | 184,Weekend,9,8,8,7,4,8,10,18,1,5,3,2,2
103,5496,16250,BROWN RD & 48TH ST,Mesa,https://farm8.staticflickr.com/7321/16497676175_161e9a8080_o.jpg,136,Weekend,,,,,,,,,,,1,,
104,8892,16755,Power Rd & Warner Rd,Gilbert,https://farm8.staticflickr.com/7426/16471654036_d68bef54af_o.jpg,184,Weekend,2,2,1,1,0,0,1,2,0,0,0,0,0
105,5216,12577,POWER RD & BROADWAY RD,Mesa,https://farm8.staticflickr.com/7458/15875117224_4d72da8b96_o.jpg,40 | 45 | 184,Weekend,8,7,7,4,4,8,10,11,3,7,4,3,3
106,3098,16099,STAPLEY DR & FAIRFIELD ST,Mesa,https://farm8.staticflickr.com/7419/16497659065_ea2666be1d_o.jpg,128,Weekend,0,0,0,1,0,0,0,0,0,0,0,0,0
107,2889,16191,GILBERT RD & GUADALUPE RD,Gilbert,https://farm8.staticflickr.com/7308/16496678222_d00f99f502_o.jpg,136 | 531,Weekend,4,4,4,4,4,5,6,10,4,8,5,7,7
108,4602,16260,GILBERT RD & FAIRFIELD ST,Mesa,https://farm8.staticflickr.com/7402/16311750607_f63fcbf924_o.jpg,136,Weekend,2,1,1,1,0,0,1,0,0,0,0,0,0
109,6180,16184,WARNER RD & GILBERT RD,Gilbert,https://farm8.staticflickr.com/7358/16311400269_6eac60f53d_o.jpg,136,Weekend,1,1,1,1,0,1,3,2,1,1,1,1,1
110,2895,16206,GILBERT RD & UNIVERSITY DR,Mesa,https://farm8.staticflickr.com/7445/16496678172_b5a82d177f_o.jpg,136,Weekend,2,2,2,2,1,2,1,3,2,1,3,2,2
