,StopID,Juris,Day,ComputedStreetAddress,ComputedCity,ComputedState,Zipcode,Per Capita Income,Population,Poverty Count,Poverty Rate,2018
3750,112,Phoenix,Weekend,16809 N 9TH ST,Phoenix,AZ,85022.0,33913.0,51426.0,6898.0,13.413448450200288,41.333333333333336
3751,113,Phoenix,Weekend,2401 E BELL RD,Phoenix,AZ,85032.0,27780.0,72830.0,11763.0,16.151311272827133,63.333333333333336
3752,114,Phoenix,Weekend,11 E BELL RD,Phoenix,AZ,85022.0,33913.0,51426.0,6898.0,13.413448450200288,13.0
3753,115,Phoenix,Weekend,4808 E BELL RD,Phoenix,AZ,85254.0,48816.0,46333.0,2349.0,5.069820646191699,34.333333333333336
3754,116,Phoenix,Weekend,7077 E BELL RD,Phoenix,AZ,85254.0,48816.0,46333.0,2349.0,5.069820646191699,0.0
3755,117,Phoenix,Weekend,1009 E BETHANY HOME RD,Phoenix,AZ,85014.0,33350.0,27395.0,5190.0,18.945062967694835,1.3333333333333333
3756,118,Phoenix,Weekend,5825 N 12TH ST,Phoenix,AZ,85014.0,33350.0,27395.0,5190.0,18.945062967694835,3.6666666666666665
3757,119,Phoenix,Weekend,1399 E BETHANY HOME RD,Phoenix,AZ,85014.0,33350.0,27395.0,5190.0,18.945062967694835,1.6666666666666667
3758,120,Phoenix,Weekend,301 E BETHANY HOME RD,Phoenix,AZ,85012.0,53630.0,7012.0,824.0,11.751283513976041,0.3333333333333333
3759,121,Phoenix,Weekend,719 E BETHANY HOME RD,Phoenix,AZ,85014.0,33350.0,27395.0,5190.0,18.945062967694835,8.333333333333334
3760,122,Phoenix,Weekend,5757 N CENTRAL AVE,Phoenix,AZ,85012.0,53630.0,7012.0,824.0,11.751283513976041,4.0
3761,123,Phoenix,Weekend,4139 E BROADWAY RD,Phoenix,AZ,85040.0,14710.0,35358.0,11170.0,31.591153345777474,4.666666666666667
3762,125,Phoenix,Weekend,1823 E BROADWAY RD,Phoenix,AZ,85040.0,14710.0,35358.0,11170.0,31.591153345777474,12.333333333333334
3763,127,Phoenix,Weekend,1224 E BROADWAY RD,Phoenix,AZ,85040.0,14710.0,35358.0,11170.0,31.591153345777474,4.0
3764,128,Phoenix,Weekend,1405 E BROADWAY RD,Phoenix,AZ,85040.0,14710.0,35358.0,11170.0,31.591153345777474,3.6666666666666665
3766,129,Phoenix,Weekend,1601 E BROADWAY RD,Phoenix,AZ,85040.0,14710.0,35358.0,11170.0,31.591153345777474,43.666666666666664
3767,130,Phoenix,Weekend,2001 E BROADWAY RD,Phoenix,AZ,85040.0,14710.0,35358.0,11170.0,31.591153345777474,6.333333333333333
3768,131,Phoenix,Weekend,2201 E BROADWAY RD,Phoenix,AZ,85040.0,14710.0,35358.0,11170.0,31.591153345777474,12.0
3769,132,Phoenix,Weekend,2412 E BROADWAY RD,Phoenix,AZ,85040.0,14710.0,35358.0,11170.0,31.591153345777474,33.0
3770,134,Phoenix,Weekend,2505 E BROADWAY RD,Phoenix,AZ,85040.0,14710.0,35358.0,11170.0,31.591153345777474,3.0
3771,135,Phoenix,Weekend,2707 E BROADWAY RD,Phoenix,AZ,85040.0,14710.0,35358.0,11170.0,31.591153345777474,5.666666666666667
3772,136,Phoenix,Weekend,4415 S 28TH ST,Phoenix,AZ,85040.0,14710.0,35358.0,11170.0,31.591153345777474,25.333333333333332
3773,137,Phoenix,Weekend,3011 E BROADWAY RD,Phoenix,AZ,85040.0,14710.0,35358.0,11170.0,31.591153345777474,1.0
3774,139,Phoenix,Weekend,3201 E BROADWAY RD,Phoenix,AZ,85040.0,14710.0,35358.0,11170.0,31.591153345777474,17.0
3775,141,Phoenix,Weekend,3401 E BROADWAY RD,Phoenix,AZ,85040.0,14710.0,35358.0,11170.0,31.591153345777474,1.0
3776,142,Phoenix,Weekend,4445 S 36TH ST,Phoenix,AZ,85040.0,14710.0,35358.0,11170.0,31.591153345777474,1.0
3777,143,Phoenix,Weekend,3821 E BROADWAY RD,Phoenix,AZ,85040.0,14710.0,35358.0,11170.0,31.591153345777474,0.0
3778,144,Phoenix,Weekend,4002 E BROADWAY RD,Phoenix,AZ,85040.0,14710.0,35358.0,11170.0,31.591153345777474,10.666666666666666
3779,145,Phoenix,Weekend,4301 E BROADWAY RD,Phoenix,AZ,85040.0,14710.0,35358.0,11170.0,31.591153345777474,2.0
3780,146,Phoenix,Weekend,4455 E PUEBLO AVE,Phoenix,AZ,85040.0,14710.0,35358.0,11170.0,31.591153345777474,7.666666666666667
3781,147,Phoenix,Weekend,4645 E BROADWAY RD,Phoenix,AZ,85040.0,14710.0,35358.0,11170.0,31.591153345777474,5.333333333333333
3782,148,Phoenix,Weekend,401 E BROADWAY RD,Phoenix,AZ,85040.0,14710.0,35358.0,11170.0,31.591153345777474,7.0
3783,149,Phoenix,Weekend,7330 W ROOSEVELT ST,Phoenix,AZ,85043.0,16552.0,39757.0,8823.0,22.192318333878312,10.333333333333334
3784,150,Phoenix,Weekend,709 E BROADWAY RD,Phoenix,AZ,85040.0,14710.0,35358.0,11170.0,31.591153345777474,30.666666666666668
3785,151,Phoenix,Weekend,907 E BROADWAY RD,Phoenix,AZ,85040.0,14710.0,35358.0,11170.0,31.591153345777474,11.333333333333334
3786,154,Phoenix,Weekend,1401 N 75TH AVE,Phoenix,AZ,85043.0,16552.0,39757.0,8823.0,22.192318333878312,2.0
3787,156,Phoenix,Weekend,4221 S CENTRAL AVE,Phoenix,AZ,85040.0,14710.0,35358.0,11170.0,31.591153345777474,97.0
3792,219,Phoenix,Weekend,907 E BUCKEYE RD,Phoenix,AZ,85034.0,15735.0,4772.0,1896.0,39.73176865046102,0.6666666666666666
3793,220,Phoenix,Weekend,1105 E BUCKEYE RD,Phoenix,AZ,85034.0,15735.0,4772.0,1896.0,39.73176865046102,1.0
3794,221,Phoenix,Weekend,1441 E BUCKEYE RD,Phoenix,AZ,85034.0,15735.0,4772.0,1896.0,39.73176865046102,0.0
3795,222,Phoenix,Weekend,1722 E BUCKEYE RD,Phoenix,AZ,85034.0,15735.0,4772.0,1896.0,39.73176865046102,14.0
3796,223,Phoenix,Weekend,2111 E BUCKEYE RD,Phoenix,AZ,85034.0,15735.0,4772.0,1896.0,39.73176865046102,8.333333333333334
3797,224,Phoenix,Weekend,1248 S 25TH PL,Phoenix,AZ,85034.0,15735.0,4772.0,1896.0,39.73176865046102,0.3333333333333333
3798,225,Phoenix,Weekend,1248 S 25TH PL,Phoenix,AZ,85034.0,15735.0,4772.0,1896.0,39.73176865046102,0.3333333333333333
3799,226,Phoenix,Weekend,1001 S 4TH ST,Phoenix,AZ,85004.0,31227.0,6552.0,1857.0,28.342490842490843,0.3333333333333333
3800,227,Phoenix,Weekend,717 E BUCKEYE RD,Phoenix,AZ,85034.0,15735.0,4772.0,1896.0,39.73176865046102,7.333333333333333
3801,228,Phoenix,Weekend,1809 E BUCKEYE RD,Phoenix,AZ,85034.0,15735.0,4772.0,1896.0,39.73176865046102,0.3333333333333333
3802,229,Phoenix,Weekend,1245 E BUCKEYE RD,Phoenix,AZ,85034.0,15735.0,4772.0,1896.0,39.73176865046102,1.3333333333333333
3803,230,Phoenix,Weekend,1809 E BUCKEYE RD,Phoenix,AZ,85034.0,15735.0,4772.0,1896.0,39.73176865046102,0.3333333333333333
3805,232,Phoenix,Weekend,2408 E CACTUS RD,Phoenix,AZ,85032.0,27780.0,72830.0,11763.0,16.151311272827133,4.0
3810,238,Phoenix,Weekend,4015 E CACTUS RD,Phoenix,AZ,85032.0,27780.0,72830.0,11763.0,16.151311272827133,5.0
3811,239,Phoenix,Weekend,12440 N TATUM BLVD,Phoenix,AZ,85032.0,27780.0,72830.0,11763.0,16.151311272827133,1.3333333333333333
3812,244,Phoenix,Weekend,12041 N CAVE CREEK RD,Phoenix,AZ,85020.0,36727.0,34782.0,5670.0,16.301535276867344,39.666666666666664
3813,246,Phoenix,Weekend,2625 E CACTUS RD,Phoenix,AZ,85032.0,27780.0,72830.0,11763.0,16.151311272827133,4.0
3814,247,Phoenix,Weekend,2019 E CACTUS RD,Phoenix,AZ,85022.0,33913.0,51426.0,6898.0,13.413448450200288,9.666666666666666
3816,249,Phoenix,Weekend,1005 E CAMELBACK RD,Phoenix,AZ,85014.0,33350.0,27395.0,5190.0,18.945062967694835,8.666666666666666
3817,250,Phoenix,Weekend,1201 E CAMELBACK RD,Phoenix,AZ,85014.0,33350.0,27395.0,5190.0,18.945062967694835,24.333333333333332
3818,251,Phoenix,Weekend,1433 E CAMELBACK RD,Phoenix,AZ,85014.0,33350.0,27395.0,5190.0,18.945062967694835,1.6666666666666667
