,StopID,Juris,Day_Category,Q2016_2,Q2016_3,Q2016_4,Q2017_1,Q2017_2,Q2017_3,Q2017_4,Q2018_12,Q2018_2,Q2018_3,Q42018,Q2019_1,Q2019_2,ComputedStreetAddress,ComputedCity,ComputedState,Zipcode
84,5093,Mesa,Weekend,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,,,1011 S KACHINA,Mesa,AZ,85204.0
85,9091,Mesa,Weekend,3.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,,,,
86,5091,Mesa,Weekend,8.0,8.0,7.0,6.0,5.0,8.0,8.0,13.0,6.0,8.0,9.0,10.0,9.0,424 S GILBERT RD,Mesa,AZ,85204.0
87,4611,Gilbert,Weekend,1.0,1.0,1.0,2.0,1.0,2.0,3.0,5.0,2.0,3.0,4.0,4.0,3.0,,,,
88,2884,Gilbert,Weekend,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,
89,4663,Mesa,Weekend,,,,,,,,,,,,,,,,,
90,5497,Mesa,Weekend,,,,,,,,,,,,,,,,,
91,4597,Gilbert,Weekend,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,,,,
92,3481,Mesa,Weekend,22.0,21.0,20.0,36.0,23.0,33.0,45.0,60.0,33.0,68.0,33.0,36.0,38.0,6902 E SOUTHERN AVE,Mesa,AZ,85209.0
93,3106,Mesa,Weekend,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,1614 N ALLEN,Mesa,AZ,85203.0
94,3031,Mesa,Weekend,7.0,7.0,7.0,9.0,6.0,11.0,16.0,15.0,8.0,10.0,7.0,6.0,7.0,6810 E MAIN ST,Mesa,AZ,85207.0
95,8878,Mesa,Weekend,4.0,4.0,4.0,2.0,2.0,4.0,4.0,5.0,2.0,2.0,4.0,3.0,2.0,4353 S POWER RD,Mesa,AZ,85212.0
96,3363,Mesa,Weekend,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1365 S GILBERT RD,Mesa,AZ,85204.0
97,5506,Mesa,Weekend,,,,,,,,,,,0.0,,,,,,
98,2898,Mesa,Weekend,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,225 N GILBERT RD,Mesa,AZ,85203.0
99,4724,Mesa,Weekend,8.0,7.0,7.0,8.0,6.0,9.0,10.0,16.0,9.0,12.0,9.0,7.0,7.0,,,,
100,4608,Mesa,Weekend,3.0,3.0,3.0,2.0,2.0,3.0,3.0,6.0,3.0,2.0,3.0,3.0,4.0,1950 N GILBERT RD,Mesa,AZ,85203.0
101,3474,Mesa,Weekend,9.0,8.0,8.0,7.0,4.0,8.0,10.0,18.0,1.0,5.0,3.0,2.0,2.0,801 S POWER RD,Mesa,AZ,85206.0
102,5496,Mesa,Weekend,,,,,,,,,,,1.0,,,,,,
103,8892,Gilbert,Weekend,2.0,2.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,
104,5216,Mesa,Weekend,8.0,7.0,7.0,4.0,4.0,8.0,10.0,11.0,3.0,7.0,4.0,3.0,3.0,400 S POWER RD,Mesa,AZ,85206.0
105,3098,Mesa,Weekend,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1010 N STAPLEY DR,Mesa,AZ,85203.0
106,2889,Gilbert,Weekend,4.0,4.0,4.0,4.0,4.0,5.0,6.0,10.0,4.0,8.0,5.0,7.0,7.0,,,,
107,4602,Mesa,Weekend,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,962 N GILBERT RD,Mesa,AZ,85203.0
108,6180,Gilbert,Weekend,1.0,1.0,1.0,1.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,
109,2895,Mesa,Weekend,2.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,3.0,2.0,2.0,1900 E UNIVERSITY DR,Mesa,AZ,85203.0
110,4722,Mesa,Weekend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1739 N SILVERADO,Mesa,AZ,85205.0
111,9110,Gilbert,Weekend,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,,,,
112,3032,Mesa,Weekend,3.0,3.0,3.0,4.0,2.0,5.0,4.0,8.0,4.0,5.0,4.0,6.0,5.0,6758 E UNIVERSITY DR,Mesa,AZ,85205.0
113,5220,Mesa,Weekend,8.0,8.0,8.0,2.0,1.0,3.0,6.0,6.0,2.0,4.0,2.0,2.0,2.0,1210 S POWER RD,Mesa,AZ,85206.0
114,5103,Gilbert,Weekend,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
115,3100,Mesa,Weekend,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,807 N STAPLEY DR,Mesa,AZ,85203.0
116,9145,Mesa,Weekend,,,,,,,,,,,,,,2224 N ASHBROOK CIR,Mesa,AZ,85213.0
117,204,Mesa,Weekend,,,,,,0.0,,0.0,0.0,,,,0.0,,,,
118,2885,Mesa,Weekend,,,,,,0.0,0.0,,0.0,,0.0,,0.0,815 N GILBERT RD,Mesa,AZ,85203.0
119,5097,Mesa,Weekend,9.0,9.0,8.0,7.0,5.0,7.0,9.0,14.0,7.0,7.0,10.0,9.0,10.0,1945 E SOUTHERN AVE,Mesa,AZ,85204.0
120,9090,Mesa,Weekend,3.0,3.0,3.0,2.0,2.0,3.0,9.0,5.0,3.0,4.0,3.0,16.0,10.0,3033 N SILVERADO,Scottsdale,AZ,85215.0
121,8042,Gilbert,Weekend,,,,,,,,,,,,,,,,,
122,2894,Gilbert,Weekend,2.0,2.0,2.0,3.0,2.0,1.0,1.0,3.0,2.0,3.0,2.0,2.0,2.0,,,,
123,5102,Gilbert,Weekend,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,0.0,,,,,
124,3368,Mesa,Weekend,8.0,8.0,7.0,7.0,5.0,7.0,8.0,16.0,8.0,8.0,8.0,9.0,9.0,2025 E SOUTHERN AVE,Mesa,AZ,85204.0
125,4598,Gilbert,Weekend,3.0,3.0,3.0,3.0,3.0,4.0,5.0,6.0,3.0,4.0,3.0,4.0,4.0,,,,
126,5222,Mesa,Weekend,9.0,9.0,8.0,2.0,1.0,2.0,3.0,5.0,2.0,5.0,2.0,2.0,3.0,1350 S POWER RD,Mesa,AZ,85206.0
127,3369,Gilbert,Weekend,8.0,8.0,7.0,7.0,6.0,4.0,6.0,9.0,4.0,6.0,7.0,8.0,8.0,,,,
128,4600,Mesa,Weekend,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1959 E DECATUR ST,Mesa,AZ,85203.0
129,4719,Mesa,Weekend,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,1.0,152 N POWER RD,Mesa,AZ,85205.0
130,5499,Mesa,Weekend,,,,,,,,,,,0.0,,,,,,
131,9586,Mesa,Weekend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,
132,9587,Mesa,Weekend,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,161 E 6TH ST,Globe,AZ,85201.0
133,9588,Mesa,Weekend,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1960 N BARKLEY,Mesa,AZ,85203.0
134,9589,Mesa,Weekend,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,,,,
135,9590,Mesa,Weekend,2.0,2.0,2.0,2.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1548 N POWER RD,Mesa,AZ,85205.0
136,9592,Mesa,Weekend,6.0,6.0,6.0,3.0,2.0,3.0,3.0,4.0,1.0,4.0,1.0,1.0,1.0,,,,
137,9591,Mesa,Weekend,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1525 N POWER RD,Mesa,AZ,85205.0
