,StopID,Location,Address,City,Zipcode,Juris_y,Day_Category,Q2016_2,Q2016_3,Q2016_4,Q2017_1,Q2017_2,Q2017_3,Q2017_4,Q2018_12,Q2018_2,Q2018_3,Q42018,Q2019_1,Q2019_2,Per Capita Income,Population,Poverty Count,Poverty Rate
1329,869.0,UNIVERSITY DR & MAY,2727 E UNIVERSITY DR,Mesa,85281.0,Tempe,Weekday,2.0,2.0,2.0,4.0,3.0,3.0,6.0,7.0,3.0,3.0,3.0,2.0,2.0,20480.0,65283.0,21281.0,32.59807300522341
1330,1778.0,UNIVERSITY DR & DOBSON RD,1957 W UNIVERSITY DR,Globe,85201.0,Mesa,Weekend,7.0,6.0,6.0,6.0,4.0,7.0,6.0,10.0,6.0,7.0,9.0,9.0,8.0,19882.0,51519.0,12469.0,24.202721326112695
1331,1778.0,UNIVERSITY DR & DOBSON RD,1957 W UNIVERSITY DR,Globe,85201.0,Mesa,Weekday,31.0,31.0,32.0,32.0,19.0,31.0,35.0,54.0,27.0,35.0,50.0,51.0,44.0,19882.0,51519.0,12469.0,24.202721326112695
1332,1781.0,UNIVERSITY DR & LONGMORE,1155 W UNIVERSITY DR,Globe,85201.0,Mesa,Weekend,2.0,2.0,1.0,0.0,0.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,19882.0,51519.0,12469.0,24.202721326112695
1333,1781.0,UNIVERSITY DR & LONGMORE,1155 W UNIVERSITY DR,Globe,85201.0,Mesa,Weekday,9.0,9.0,9.0,8.0,3.0,9.0,9.0,13.0,4.0,4.0,5.0,6.0,4.0,19882.0,51519.0,12469.0,24.202721326112695
1334,1784.0,UNIVERSITY DR & STANDAGE,1355 W UNIVERSITY DR,Globe,85201.0,Mesa,Weekend,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,19882.0,51519.0,12469.0,24.202721326112695
1335,1784.0,UNIVERSITY DR & STANDAGE,1355 W UNIVERSITY DR,Globe,85201.0,Mesa,Weekday,11.0,11.0,12.0,13.0,8.0,10.0,10.0,15.0,7.0,7.0,9.0,10.0,10.0,19882.0,51519.0,12469.0,24.202721326112695
1336,1776.0,UNIVERSITY DR & ALMA SCHOOL RD,1145 W UNIVERSITY DR,Globe,85201.0,Mesa,Weekend,4.0,4.0,4.0,3.0,4.0,4.0,6.0,7.0,5.0,5.0,4.0,5.0,5.0,19882.0,51519.0,12469.0,24.202721326112695
1337,1776.0,UNIVERSITY DR & ALMA SCHOOL RD,1145 W UNIVERSITY DR,Globe,85201.0,Mesa,Weekday,24.0,24.0,25.0,24.0,15.0,21.0,24.0,47.0,24.0,27.0,37.0,34.0,31.0,19882.0,51519.0,12469.0,24.202721326112695
1338,1786.0,UNIVERSITY DR & WESTWOOD,945 W UNIVERSITY DR,Globe,85201.0,Mesa,Weekend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19882.0,51519.0,12469.0,24.202721326112695
1339,1786.0,UNIVERSITY DR & WESTWOOD,945 W UNIVERSITY DR,Globe,85201.0,Mesa,Weekday,4.0,4.0,4.0,4.0,2.0,3.0,3.0,7.0,3.0,3.0,4.0,4.0,4.0,19882.0,51519.0,12469.0,24.202721326112695
1340,1797.0,UNIVERSITY DR & EXTENSION RD,825 W UNIVERSITY DR,Globe,85201.0,Mesa,Weekend,3.0,3.0,3.0,4.0,4.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,19882.0,51519.0,12469.0,24.202721326112695
1341,1797.0,UNIVERSITY DR & EXTENSION RD,825 W UNIVERSITY DR,Globe,85201.0,Mesa,Weekday,21.0,21.0,22.0,32.0,17.0,12.0,14.0,26.0,12.0,18.0,18.0,20.0,19.0,19882.0,51519.0,12469.0,24.202721326112695
1342,1780.0,UNIVERSITY DR & HOSICK,615 W UNIVERSITY DR,Globe,85201.0,Mesa,Weekend,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,19882.0,51519.0,12469.0,24.202721326112695
1343,1780.0,UNIVERSITY DR & HOSICK,615 W UNIVERSITY DR,Globe,85201.0,Mesa,Weekday,4.0,4.0,4.0,3.0,2.0,5.0,7.0,5.0,1.0,1.0,2.0,2.0,2.0,19882.0,51519.0,12469.0,24.202721326112695
1344,1777.0,UNIVERSITY DR & COUNTRY CLUB DR,351 N COUNTRY CLUB DR,Globe,85201.0,Mesa,Weekend,9.0,9.0,8.0,9.0,9.0,13.0,12.0,21.0,14.0,16.0,15.0,15.0,15.0,19882.0,51519.0,12469.0,24.202721326112695
1345,1777.0,UNIVERSITY DR & COUNTRY CLUB DR,351 N COUNTRY CLUB DR,Globe,85201.0,Mesa,Weekday,50.0,50.0,52.0,61.0,45.0,55.0,55.0,109.0,58.0,63.0,67.0,70.0,64.0,19882.0,51519.0,12469.0,24.202721326112695
1346,1783.0,UNIVERSITY DR & ROBSON,161 W UNIVERSITY DR,Globe,85201.0,Mesa,Weekend,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,19882.0,51519.0,12469.0,24.202721326112695
1347,1783.0,UNIVERSITY DR & ROBSON,161 W UNIVERSITY DR,Globe,85201.0,Mesa,Weekday,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,4.0,4.0,3.0,19882.0,51519.0,12469.0,24.202721326112695
1348,1782.0,UNIVERSITY DR & MACDONALD,77 W UNIVERSITY DR,Globe,85201.0,Mesa,Weekend,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,19882.0,51519.0,12469.0,24.202721326112695
1349,1782.0,UNIVERSITY DR & MACDONALD,77 W UNIVERSITY DR,Globe,85201.0,Mesa,Weekday,4.0,4.0,4.0,4.0,3.0,5.0,6.0,7.0,1.0,1.0,2.0,2.0,2.0,19882.0,51519.0,12469.0,24.202721326112695
1350,832.0,UNIVERSITY DR & CENTER ST,18 E UNIVERSITY DR,Globe,85201.0,Mesa,Weekend,3.0,3.0,2.0,4.0,2.0,4.0,4.0,6.0,3.0,2.0,3.0,3.0,3.0,19882.0,51519.0,12469.0,24.202721326112695
1351,832.0,UNIVERSITY DR & CENTER ST,18 E UNIVERSITY DR,Globe,85201.0,Mesa,Weekday,16.0,16.0,17.0,19.0,10.0,16.0,15.0,27.0,15.0,16.0,19.0,17.0,15.0,19882.0,51519.0,12469.0,24.202721326112695
1352,836.0,UNIVERSITY DR & HIBBERT,217 E UNIVERSITY DR,Globe,85201.0,Mesa,Weekend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,19882.0,51519.0,12469.0,24.202721326112695
1353,836.0,UNIVERSITY DR & HIBBERT,217 E UNIVERSITY DR,Globe,85201.0,Mesa,Weekday,2.0,2.0,2.0,4.0,2.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,19882.0,51519.0,12469.0,24.202721326112695
1354,843.0,UNIVERSITY DR & MESA DR,407 E UNIVERSITY DR,Mesa,85203.0,Mesa,Weekend,6.0,6.0,6.0,6.0,5.0,7.0,6.0,11.0,7.0,9.0,7.0,7.0,6.0,24339.0,39069.0,6481.0,16.588599657017074
1355,843.0,UNIVERSITY DR & MESA DR,407 E UNIVERSITY DR,Mesa,85203.0,Mesa,Weekday,28.0,28.0,29.0,37.0,21.0,29.0,28.0,52.0,32.0,34.0,33.0,32.0,31.0,24339.0,39069.0,6481.0,16.588599657017074
1356,820.0,UNIVERSITY DR & OLIVE,615 E UNIVERSITY DR,Mesa,85203.0,Mesa,Weekend,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,24339.0,39069.0,6481.0,16.588599657017074
1357,820.0,UNIVERSITY DR & OLIVE,615 E UNIVERSITY DR,Mesa,85203.0,Mesa,Weekday,1.0,1.0,1.0,4.0,2.0,2.0,3.0,9.0,3.0,3.0,2.0,3.0,3.0,24339.0,39069.0,6481.0,16.588599657017074
1358,838.0,UNIVERSITY DR & HORNE,815 E UNIVERSITY DR,Mesa,85203.0,Mesa,Weekend,1.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,24339.0,39069.0,6481.0,16.588599657017074
1359,838.0,UNIVERSITY DR & HORNE,815 E UNIVERSITY DR,Mesa,85203.0,Mesa,Weekday,8.0,8.0,8.0,8.0,4.0,9.0,8.0,15.0,5.0,5.0,4.0,5.0,6.0,24339.0,39069.0,6481.0,16.588599657017074
1360,844.0,UNIVERSITY DR & MILLER ST,1005 E UNIVERSITY DR,Mesa,85203.0,Mesa,Weekend,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,24339.0,39069.0,6481.0,16.588599657017074
1361,844.0,UNIVERSITY DR & MILLER ST,1005 E UNIVERSITY DR,Mesa,85203.0,Mesa,Weekday,4.0,4.0,4.0,4.0,2.0,4.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,24339.0,39069.0,6481.0,16.588599657017074
1362,846.0,UNIVERSITY DR & STAPLEY DR,357 N STAPLEY DR,Mesa,85203.0,Mesa,Weekend,3.0,3.0,3.0,3.0,2.0,3.0,4.0,4.0,5.0,3.0,4.0,3.0,3.0,24339.0,39069.0,6481.0,16.588599657017074
1363,846.0,UNIVERSITY DR & STAPLEY DR,357 N STAPLEY DR,Mesa,85203.0,Mesa,Weekday,17.0,17.0,18.0,16.0,11.0,13.0,14.0,24.0,12.0,16.0,13.0,12.0,14.0,24339.0,39069.0,6481.0,16.588599657017074
1364,840.0,UNIVERSITY DR & LAZONA DR,1411 E UNIVERSITY DR,Mesa,85203.0,Mesa,Weekend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,24339.0,39069.0,6481.0,16.588599657017074
1365,840.0,UNIVERSITY DR & LAZONA DR,1411 E UNIVERSITY DR,Mesa,85203.0,Mesa,Weekday,2.0,2.0,2.0,3.0,1.0,2.0,3.0,4.0,1.0,2.0,2.0,2.0,1.0,24339.0,39069.0,6481.0,16.588599657017074
1366,839.0,UNIVERSITY DR & HUNT DR,1555 E UNIVERSITY DR,Mesa,85203.0,Mesa,Weekend,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,24339.0,39069.0,6481.0,16.588599657017074
1367,839.0,UNIVERSITY DR & HUNT DR,1555 E UNIVERSITY DR,Mesa,85203.0,Mesa,Weekday,5.0,5.0,6.0,6.0,4.0,6.0,6.0,12.0,4.0,4.0,3.0,2.0,2.0,24339.0,39069.0,6481.0,16.588599657017074
1368,835.0,UNIVERSITY DR & HALL ST,359 N HALL,Mesa,85203.0,Mesa,Weekend,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,24339.0,39069.0,6481.0,16.588599657017074
1369,835.0,UNIVERSITY DR & HALL ST,359 N HALL,Mesa,85203.0,Mesa,Weekday,3.0,3.0,3.0,5.0,2.0,4.0,4.0,6.0,2.0,2.0,3.0,2.0,2.0,24339.0,39069.0,6481.0,16.588599657017074
1370,833.0,UNIVERSITY DR & GILBERT RD,2027 E UNIVERSITY DR,Mesa,85213.0,Mesa,Weekend,7.0,6.0,6.0,6.0,4.0,5.0,6.0,9.0,6.0,6.0,7.0,6.0,7.0,32755.0,36902.0,4183.0,11.335428974039347
1371,833.0,UNIVERSITY DR & GILBERT RD,2027 E UNIVERSITY DR,Mesa,85213.0,Mesa,Weekday,28.0,28.0,28.0,30.0,18.0,26.0,30.0,52.0,27.0,31.0,39.0,36.0,30.0,32755.0,36902.0,4183.0,11.335428974039347
1372,826.0,UNIVERSITY DR & 22ND PL,2253 E UNIVERSITY DR,Mesa,85213.0,Mesa,Weekend,2.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,32755.0,36902.0,4183.0,11.335428974039347
1373,826.0,UNIVERSITY DR & 22ND PL,2253 E UNIVERSITY DR,Mesa,85213.0,Mesa,Weekday,6.0,6.0,6.0,5.0,2.0,5.0,7.0,6.0,2.0,2.0,2.0,2.0,1.0,32755.0,36902.0,4183.0,11.335428974039347
1374,848.0,UNIVERSITY DR & YALE,361 N YALE,Mesa,85213.0,Mesa,Weekend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,32755.0,36902.0,4183.0,11.335428974039347
1375,848.0,UNIVERSITY DR & YALE,361 N YALE,Mesa,85213.0,Mesa,Weekday,4.0,4.0,4.0,4.0,1.0,5.0,5.0,6.0,1.0,2.0,3.0,2.0,2.0,32755.0,36902.0,4183.0,11.335428974039347
1376,841.0,UNIVERSITY DR & LINDSAY RD,2815 E UNIVERSITY DR,Mesa,85213.0,Mesa,Weekend,3.0,2.0,2.0,4.0,3.0,4.0,4.0,5.0,3.0,3.0,4.0,4.0,3.0,32755.0,36902.0,4183.0,11.335428974039347
1377,841.0,UNIVERSITY DR & LINDSAY RD,2815 E UNIVERSITY DR,Mesa,85213.0,Mesa,Weekday,11.0,11.0,11.0,10.0,6.0,10.0,10.0,20.0,12.0,9.0,13.0,10.0,9.0,32755.0,36902.0,4183.0,11.335428974039347
1378,842.0,UNIVERSITY DR & LOS ALAMOS,3020 E MAIN ST,Mesa,85213.0,Mesa,Weekend,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,32755.0,36902.0,4183.0,11.335428974039347
1379,842.0,UNIVERSITY DR & LOS ALAMOS,3020 E MAIN ST,Mesa,85213.0,Mesa,Weekday,3.0,3.0,3.0,3.0,1.0,3.0,3.0,6.0,2.0,1.0,1.0,1.0,2.0,32755.0,36902.0,4183.0,11.335428974039347
1380,816.0,UNIVERSITY DR & CRESTON,3257 E UNIVERSITY DR,Mesa,85213.0,Mesa,Weekend,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,32755.0,36902.0,4183.0,11.335428974039347
1381,816.0,UNIVERSITY DR & CRESTON,3257 E UNIVERSITY DR,Mesa,85213.0,Mesa,Weekday,4.0,4.0,4.0,4.0,1.0,2.0,2.0,3.0,1.0,3.0,3.0,2.0,3.0,32755.0,36902.0,4183.0,11.335428974039347
1382,866.0,CRESTON & VAL VISTA DR,3443 E UNIVERSITY DR,Mesa,85213.0,Mesa,Weekend,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,32755.0,36902.0,4183.0,11.335428974039347
1383,866.0,CRESTON & VAL VISTA DR,3443 E UNIVERSITY DR,Mesa,85213.0,Mesa,Weekday,3.0,3.0,3.0,4.0,2.0,6.0,6.0,8.0,2.0,2.0,1.0,1.0,1.0,32755.0,36902.0,4183.0,11.335428974039347
1384,847.0,UNIVERSITY DR & VAL VISTA DR,411 N VAL VISTA DR,Mesa,85213.0,Mesa,Weekend,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,2.0,32755.0,36902.0,4183.0,11.335428974039347
1385,847.0,UNIVERSITY DR & VAL VISTA DR,411 N VAL VISTA DR,Mesa,85213.0,Mesa,Weekday,7.0,7.0,7.0,5.0,2.0,7.0,7.0,10.0,5.0,4.0,5.0,5.0,6.0,32755.0,36902.0,4183.0,11.335428974039347
1386,817.0,UNIVERSITY DR & MAPLE,3855 E UNIVERSITY DR,Mesa,85205.0,Mesa,Weekend,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30975.0,42171.0,4985.0,11.820919589291218
1387,817.0,UNIVERSITY DR & MAPLE,3855 E UNIVERSITY DR,Mesa,85205.0,Mesa,Weekday,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,30975.0,42171.0,4985.0,11.820919589291218
1388,818.0,UNIVERSITY DR & NASSAU,4001 E UNIVERSITY DR,Mesa,85205.0,Mesa,Weekend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30975.0,42171.0,4985.0,11.820919589291218
1389,818.0,UNIVERSITY DR & NASSAU,4001 E UNIVERSITY DR,Mesa,85205.0,Mesa,Weekday,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,30975.0,42171.0,4985.0,11.820919589291218
1390,819.0,NORFOLK & GREENFIELD RD,4225 E UNIVERSITY DR,Mesa,85205.0,Mesa,Weekend,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30975.0,42171.0,4985.0,11.820919589291218
1391,819.0,NORFOLK & GREENFIELD RD,4225 E UNIVERSITY DR,Mesa,85205.0,Mesa,Weekday,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,30975.0,42171.0,4985.0,11.820919589291218
1392,834.0,UNIVERSITY DR & GREENFIELD RD,4425 E UNIVERSITY DR,Mesa,85205.0,Mesa,Weekend,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,30975.0,42171.0,4985.0,11.820919589291218
