,Q1,Q2,Q3,Q4,2018
3491,3.0,4.0,5.0,3.0,
3492,4.0,4.0,5.0,5.0,
3493,48.0,24.0,25.0,24.0,
3494,77.0,38.0,41.0,45.0,
3495,27.0,18.0,66.0,56.0,
3496,45.0,21.0,85.0,40.0,
3499,12.0,6.0,11.0,8.0,
3500,24.0,13.0,15.0,12.0,
3501,6.0,3.0,10.0,2.0,
3502,20.0,9.0,33.0,10.0,
3503,21.0,15.0,25.0,11.0,
3504,37.0,18.0,39.0,24.0,
3505,15.0,9.0,17.0,15.0,
3506,34.0,18.0,14.0,22.0,
3507,13.0,9.0,9.0,9.0,
3508,21.0,11.0,12.0,13.0,
3509,1.0,1.0,2.0,1.0,
3510,2.0,2.0,2.0,2.0,
3511,4.0,3.0,3.0,4.0,
3512,5.0,3.0,2.0,4.0,
3513,0.0,0.0,0.0,0.0,
3514,1.0,0.0,0.0,0.0,
3515,17.0,13.0,17.0,14.0,
3516,49.0,25.0,26.0,27.0,
3517,8.0,8.0,7.0,5.0,
3518,24.0,12.0,16.0,13.0,
3521,12.0,7.0,6.0,7.0,
3522,23.0,10.0,13.0,11.0,
3523,6.0,4.0,5.0,4.0,
3524,13.0,7.0,8.0,8.0,
3525,5.0,4.0,4.0,2.0,
3526,9.0,6.0,6.0,5.0,
3527,12.0,7.0,8.0,8.0,
3528,20.0,10.0,10.0,9.0,
3529,22.0,12.0,12.0,11.0,
3530,34.0,17.0,13.0,15.0,
3531,14.0,9.0,8.0,9.0,
3532,25.0,17.0,18.0,17.0,
3533,52.0,28.0,30.0,26.0,
3534,105.0,51.0,45.0,54.0,
3557,28.0,20.0,18.0,16.0,
3558,85.0,43.0,36.0,38.0,
3569,50.0,23.0,26.0,28.0,
3570,129.0,57.0,71.0,80.0,
3571,186.0,104.0,118.0,95.0,
3572,476.0,257.0,251.0,279.0,
3573,5.0,0.0,0.0,3.0,
3574,8.0,1.0,1.0,7.0,
3583,2.0,0.0,,1.0,
3584,4.0,0.0,0.0,2.0,
3585,9.0,10.0,3.0,15.0,
3586,28.0,17.0,14.0,30.0,
3587,3.0,1.0,0.0,2.0,
3588,3.0,0.0,0.0,2.0,
3589,2.0,0.0,0.0,2.0,
