,StopID,Location,Address,City,Zipcode,Juris_y,Day_Category,Q2016_2,Q2016_3,Q2016_4,Q2017_1,Q2017_2,Q2017_3,Q2017_4,Q2018_12,Q2018_2,Q2018_3,Q42018,Q2019_1,Q2019_2
104,3361,GILBERT RD & BROADWAY RD,363 S GILBERT RD,Mesa,85204,Mesa,Weekend,3,3,3,2,2,2,2,4,2,2,3,1,3
105,3361,GILBERT RD & BROADWAY RD,363 S GILBERT RD,Mesa,85204,Mesa,Weekday,21,21,22,22,14,18,20,30,16,19,19,18,21
106,4596,GILBERT RD & 8TH ST,1961 E 8TH ST,Mesa,85203,Mesa,Weekend,2,2,1,1,1,0,1,1,1,1,1,0,0
107,4596,GILBERT RD & 8TH ST,1961 E 8TH ST,Mesa,85203,Mesa,Weekday,6,6,6,6,3,5,6,10,5,5,4,3,3
108,9370,N POWER RD & E MCDOWELL RD,2807 N POWER RD,Scottsdale,85215,Mesa,Weekend,0,0,0,,,0,0,1,0,0,0,0,
109,9370,N POWER RD & E MCDOWELL RD,2807 N POWER RD,Scottsdale,85215,Mesa,Weekday,0,0,0,0,0,1,1,1,0,0,0,0,0
110,3027,POWER RD & BROWN RD,1229 N POWER RD,Mesa,85205,Mesa,Weekend,1,1,1,1,0,0,1,1,0,0,1,1,1
111,3027,POWER RD & BROWN RD,1229 N POWER RD,Mesa,85205,Mesa,Weekday,2,2,2,2,1,3,3,5,1,1,1,2,2
112,9146,N GILBERT RD & E HERMOSA VISTA,2407 N KACHINA,Mesa,85203,Mesa,Weekend,,,,0,0,,0,0,,,,,
113,9146,N GILBERT RD & E HERMOSA VISTA,2407 N KACHINA,Mesa,85203,Mesa,Weekday,0,0,0,0,0,1,1,3,0,0,0,6,0
114,8886,Power Rd & Decatur St,548 N POWER RD,Mesa,85205,Mesa,Weekend,2,2,2,2,1,2,2,3,2,2,3,3,3
115,8886,Power Rd & Decatur St,548 N POWER RD,Mesa,85205,Mesa,Weekday,3,3,4,5,3,5,4,8,4,5,6,8,6
116,3025,POWER RD & ENSENADA ST,1001 N POWER RD,Mesa,85205,Mesa,Weekend,1,1,1,1,0,0,1,1,0,1,0,0,0
117,3025,POWER RD & ENSENADA ST,1001 N POWER RD,Mesa,85205,Mesa,Weekday,1,1,1,1,0,1,1,1,0,0,0,1,1
