FFEBRUARY 2020 MONTHLY RIDERSHIP REPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SERVICE,ROUTE,CITY,Avg Full Fare,Avg Exp Fare,Avg Reduced Fare,Avg Full Fare Pass,Avg Reduced Pass,Avg Monthly Pass,Avg Free,Avg Bikes,Avg W/C, Avg Daily Boardings, Total Boardings ,Daily Revenue Miles,Total Rev. Miles,Boardings Per Rev Mile,2/19 - Avg Daily,% Difference,,,,,,,,,,,,,,,,,,,,,,
SU,29,Phx,180,0,131,807,"1,560",173,128,63,22,"2,979","11,911","1,320.2","5,280.8",2.3," 2,842 ",4.8%,,,,,,,,,,,,,,,,,,,,,,
SU,29,Sct,13,0,7,47,68,6,7,4,1,148,592,223.9,895.6,0.7, 143 ,4%,,,,,,,,,,,,,,,,,,,,,,
SU,30,Phx,2,0,2,17,31,5,3,3,1,60,236,201.3,805.2,0.3, 59 ,1.7%,,,,,,,,,,,,,,,,,,,,,,
SU,30,Tem,7,0,1,22,53,7,7,1,1,97,383,170.2,680.8,0.6, 107 ,-9.3%,,,,,,,,,,,,,,,,,,,,,,
SU,32,Phx,40,0,34,254,467,53,41,19,9,889,"3,552",970.7,"3,882.8",0.9, 801 ,11.0%,,,,,,,,,,,,,,,,,,,,,,
SU,32,Tem,2,0,1,17,23,3,4,2,0,50,201,66.5,266.0,0.8, 73 ,-31.5%,,,,,,,,,,,,,,,,,,,,,,
SU,35,Phx,145,0,132,659,"1,227",95,110,73,20,"2,368","9,472","2,087.3","8,349.2",1.1," 2,517 ",-5.9%,,,,,,,,,,,,,,,,,,,,,,
SU,39,Phx,9,0,5,31,52,9,4,6,2,110,436,540.6,"2,162.4",0.2, 94 ,17.0%,,,,,,,,,,,,,,,,,,,,,,
SU,40,Mes,57,0,49,203,471,31,42,70,12,853,"3,406",881.3,"3,525.2",1.0, 962 ,-11.3%,,,,,,,,,,,,,,,,,,,,,,
SU,40,Tem,0,0,0,4,10,0,1,1,0,15,63,30.7,122.8,0.5, 11 ,36.4%,,,,,,,,,,,,,,,,,,,,,,
SU,41,Avo,11,0,10,36,64,8,3,6,0,132,524,39.1,156.4,3.4, *November 2020 ,*November 2020,,,,,,,,,,,,,,,,,,,,,,
SU,41,Phx,142,0,107,591,"1,207",117,99,61,20,"2,263","9,047","1,434.4","5,737.6",1.6," 2,788 ",-18.8%,,,,,,,,,,,,,,,,,,,,,,
SU,41,Sct,10,0,6,28,40,4,5,1,2,93,370,180.9,723.6,0.5, 129 ,-27.9%,,,,,,,,,,,,,,,,,,,,,,
SU,43,Gln,21,0,16,61,121,13,10,9,1,242,969,185.3,741.2,1.3, *November 2020 ,*November 2020,,,,,,,,,,,,,,,,,,,,,,
SU,43,Phx,82,0,63,266,456,48,53,30,8,968,"3,867",937.1,"3,748.4",1.0," 1,155 ",-16.2%,,,,,,,,,,,,,,,,,,,,,,
SU,44,PaVa,3,0,0,24,8,10,1,2,0,46,184,252.5,"1,010.0",0.2, 31 ,48.4%,,,,,,,,,,,,,,,,,,,,,,
SU,44,Phx,58,0,28,450,529,101,33,31,5,"1,199","4,788","1,126.6","4,506.4",1.1," 1,135 ",5.6%,,,,,,,,,,,,,,,,,,,,,,
SU,45,Phx,17,0,15,84,290,24,20,10,6,450,"1,796",517.6,"2,070.4",0.9, 467 ,-3.6%,,,,,,,,,,,,,,,,,,,,,,
SU,45,Tem,16,0,12,84,173,15,14,8,2,314,"1,253",336.0,"1,344.0",0.9, 317 ,-0.9%,,,,,,,,,,,,,,,,,,,,,,
SU,48,Phx,2,0,2,9,22,1,2,2,0,38,150,71.9,287.6,0.5, *November 2020 ,*November 2020,,,,,,,,,,,,,,,,,,,,,,
SU,48,Tem,10,0,6,59,94,9,6,6,2,184,732,624.6,"2,498.4",0.3, 282 ,-34.8%,,,,,,,,,,,,,,,,,,,,,,
