"NoName","X","Y","StopID","NextRide","Location","Juris","WaterFountain","ADA","Type_","ATIS_ID","Direction","Long","Lat","Routes","Zip","City","Address","State","AUTO_UNIQUE_ID_2020-07-27_pwewiora08_filter_bus_1000","UpdatedReverseGeocoding","TimeTaken","TransactionId","Source","ErrorMessage","Version","ComputedAPN","ComputedStreetAddress","ComputedCity","ComputedState","ComputedZip","ComputedZipPlus4"
"1047","-111.867124251668","33.4335736104176","8997.0","15401.0","MESA RIVERVIEW NEAR WALMART","Mesa","No","Yes","Standard","11432.0","Southbound","-111.867124251668","33.4335736104176","96","","","","",329,"1",1375.0019,"","AggieReverseGeocoder","",4.01,"13533548","949 N DOBSON RD","Globe","AZ","85201","7573"
"1048","-111.86816539725001","33.4343748568758","8935.0","15402.0","BASS PRO DR & DOBSON RD","Mesa","No","Yes","Standard","11364.0","Westbound","-111.86816539725001","33.4343748568758","96","","","","",330,"1",1093.7889,"","AggieReverseGeocoder","",4.01,"13533560","925 N DOBSON RD","Globe","AZ","85201","7573"
"1049","-111.908884822367","33.422668720976","3431.0","14166.0","MCCLINTOCK DR & UNIVERSITY DR","Tempe","No","Yes","Standard","3445.0","Northbound","-111.908884822367","33.422668720976","62 | 81","","","","",331,"1",1453.1226,"","AggieReverseGeocoder","",4.01,"13240009E","719 S MCCLINTOCK DR","Mesa","AZ","85281","2215"
"1050","-111.908952144054","33.42495041476","9421.0","18419.0","S MCCLINTOCK DR AT 525 S MCCLINTOCK","Tempe","No","Yes","Standard","12067.0","Northbound","-111.908952144054","33.42495041476","62 | 81","","","","",332,"1",1453.1333,"","AggieReverseGeocoder","",4.01,"13240002G","525 S MCCLINTOCK DR","Mesa","AZ","85281","2228"
"1068","-111.90951086936","33.4493426056044","4674.0","15191.0","MCCLINTOCK DR & LARKSPUR LN","Tempe","No","Yes","Standard","4688.0","Southbound","-111.90951086936","33.4493426056044","81","","","","",333,"1",1468.7495,"","AggieReverseGeocoder","",4.01,"13208013","1666 N MCCLINTOCK DR","Mesa","AZ","85281","1600"
"1069","-111.909504472642","33.446016571154104","4655.0","15192.0","LARKSPUR LN & WEBER DR","Tempe","No","Yes","Standard","4669.0","Southbound","-111.909504472642","33.446016571154104","81","","","","",334,"1",1656.2511,"","AggieReverseGeocoder","",4.01,"13208001F","1500 N MCCLINTOCK DR","Mesa","AZ","85281","1643"
"1070","-111.90965140776501","33.4435594750642","4676.0","15193.0","MCCLINTOCK DR & WEBER DR","Tempe","No","Yes","Standard","4690.0","Southbound","-111.90965140776501","33.4435594750642","81","","","","",335,"1",1296.8792,"","AggieReverseGeocoder","",4.01,"13215004F","1300 N MCCLINTOCK DR","Mesa","AZ","85281","1930"
"1071","-111.909650641843","33.4401134698155","4675.0","15194.0","MCCLINTOCK DR & CURRY RD","Tempe","No","Yes","Standard","4689.0","Southbound","-111.909650641843","33.4401134698155","81","","","","",336,"1",1453.1249,"","AggieReverseGeocoder","",4.01,"13215005H","1704 E CURRY RD","Mesa","AZ","85281","2125"
"1072","-111.908468659825","33.4291624119803","9423.0","18293.0","RIO SALADO PKWY & S MCCLINTOCK DR","Tempe","No","Yes","Standard","12068.0","Eastbound","-111.908468659825","33.4291624119803","48 | 62 | 81 | EARTH","","","","",337,"1",1359.3811,"","AggieReverseGeocoder","",4.01,"13241003A","101 S MCCLINTOCK DR","Mesa","AZ","85281","2210"
"1073","-111.909194784621","33.428620675647004","5169.0","14168.0","MCCLINTOCK DR & RIO SALADO PKWY","Tempe","No","Yes","Standard","5183.0","Southbound","-111.909194784621","33.428620675647004","62 | 81","","","","",338,"1",1468.7525,"","AggieReverseGeocoder","",4.01,"13241005","111 S MCCLINTOCK DR","Mesa","AZ","85281","2210"
