NoName,X,Y,OBJECTID,StopID,NextRide,Location,Juris,DateUpdated,Long,Lat,Routes,Zip,State,Address,AUTO_UNIQUE_ID_2020-07-27_cceni03_filter_bus3001,UpdatedReverseGeocoding,TimeTaken,TransactionId,Source,ErrorMessage,Version,ComputedAPN,ComputedStreetAddress,ComputedCity,ComputedState,ComputedZip,ComputedZipPlus4
5224,-112.237873,33.497362,5333,1869,18651,SB 83RD AVE FS GLENROSA AVE,Phoenix,1.54E+12,-112.237873,33.497362,83,,,,291,1,749.9988,,AggieReverseGeocoder,,4.01,10219175,4239 N 83RD DR,Avondale,AZ,85037,2102
5226,-112.238282,33.458815,5335,1872,18653,SB 83RD AVE FS ROOSEVELT ST,Phoenix,1.54E+12,-112.238282,33.458815,83,,,,292,1,484.3767,,AggieReverseGeocoder,,4.01,10246001C,600 N 83RD AVE,Peoria,AZ,85353,9257
5227,-112.23838,33.454415,5336,1873,18654,SB 83RD AVE FS PIERCE ST,Phoenix,1.54E+12,-112.23838,33.454415,83,,,,293,1,500.0059,,AggieReverseGeocoder,,4.01,10246081,8313 W PIERCE ST,Peoria,AZ,85353,9212
5228,-112.0912398,33.44124869,5337,1875,10048,NB 15TH AVE FS W GRANT ST,Phoenix,1.54E+12,-112.0912398,33.44124869,15,,,,294,1,781.1902,,AggieReverseGeocoder,,4.01,11211060,1346 W GRANT ST,Phoenix,AZ,85007,3413
5229,-112.091337,33.447403,5338,1876,10049,NB 15TH AVE FS W JEFFERSON ST,Phoenix,1.54E+12,-112.091337,33.447403,15,,,,295,1,640.6257,,AggieReverseGeocoder,,4.01,11206054,1415 W WASHINGTON ST,Phoenix,AZ,85007,2930
5230,-112.0915182,33.44652709,5339,1877,10094,SB 15TH AVE FS W JEFFERSON ST,Phoenix,1.54E+12,-112.0915182,33.44652709,15,,,,296,1,296.877,,AggieReverseGeocoder,,4.01,11207081A,1535 W JEFFERSON ST,Phoenix,AZ,85007,3209
5231,-111.987253,33.59949,5340,1878,15620,EB CACTUS RD FS PARADISE VILLAGE PARKWAY W,Phoenix,1.54E+12,-111.987253,33.59949,138,,,,297,1,875,,AggieReverseGeocoder,,4.01,16732001Q,4501 E CACTUS RD,Phoenix,AZ,85032,7701
5232,-112.124759,33.576304,5341,1879,11716,METRO PKWY & CHERYL DR,Phoenix,1.54E+12,-112.124759,33.576304,27,,,,298,1,687.5021,,AggieReverseGeocoder,,4.01,14916005,9617 N METRO PKWY W,Glendale,AZ,85051,1400
5233,-112.123896,33.579153,5342,1880,11717,METRO PKWY & COCHISE DR,Phoenix,1.54E+12,-112.123896,33.579153,27,,,,299,1,703.1256,,AggieReverseGeocoder,,4.01,14916390,2827 W PEORIA AVE,Glendale,AZ,85029,5217
5234,-111.98099,33.599015,5343,1881,17197,WB CACTUS RD FS TATUM BLVD,Phoenix,1.54E+12,-111.98099,33.599015,138,,,,300,1,609.3767,,AggieReverseGeocoder,,4.01,16725001D,4622 E CACTUS RD,Phoenix,AZ,85032,7704
5235,-112.0589,33.455036,5344,1893,10873,11TH ST & FILLMORE ST,Phoenix,1.54E+12,-112.0589,33.455036,12,,,,301,1,1031.2514,,AggieReverseGeocoder,,4.01,11627117,1104 E FILLMORE ST,Phoenix,AZ,85006,3329
5236,-112.056205,33.534799,5345,1918,10901,12TH ST & OCOTILLO RD,Phoenix,1.54E+12,-112.056205,33.534799,12,,,,302,1,937.5168,,AggieReverseGeocoder,,4.01,16102089,6703 N 12TH ST,Phoenix,AZ,85014,1107
5237,-112.056303,33.487744,5346,1919,10887,12TH ST & OSBORN RD,Phoenix,1.54E+12,-112.056303,33.487744,12,,,,303,1,656.2365,,AggieReverseGeocoder,,4.01,11808181,1212 E OSBORN RD,Phoenix,AZ,85014,5533
5238,-112.058887,33.459076,5347,1894,15491,11TH ST & ROOSEVELT ST,Phoenix,1.54E+12,-112.058887,33.459076,12,,,,304,1,937.5028,,AggieReverseGeocoder,,4.01,11628117,1009 N 11TH ST,Phoenix,AZ,85006,2740
5239,-112.058904,33.451663,5348,1895,18399,11TH ST & VAN BUREN ST,Phoenix,1.54E+12,-112.058904,33.451663,12,,,,305,1,984.3462,,AggieReverseGeocoder,,4.01,11657016,1102 E VAN BUREN ST,Phoenix,AZ,85006,3370
5240,-112.056263,33.4971612,5349,1896,10890,12TH ST & DEVONSHIRE AVE,Phoenix,1.54E+12,-112.056263,33.4971612,12,,,,306,1,671.8674,,AggieReverseGeocoder,,4.01,15506004,4207 N 12TH ST,Phoenix,AZ,85014,4553
5241,-112.05625,33.50018125,5350,1897,10891,12TH ST & TURNEY AVE,Phoenix,1.54E+12,-112.05625,33.50018125,12,,,,307,1,687.6378,,AggieReverseGeocoder,,4.01,15508007A,4411 N 12TH ST,Phoenix,AZ,85014,4510
5242,-112.0565686,33.56448803,5351,1898,10910,12TH ST & ALICE AVE,Phoenix,1.54E+12,-112.0565686,33.56448803,12,,,,308,1,968.7594,,AggieReverseGeocoder,,4.01,16064004,1202 E ALICE AVE,Phoenix,AZ,85020,3216
5243,-112.056455,33.549557,5352,1899,10906,12TH ST & BELMONT AVE,Phoenix,1.54E+12,-112.056455,33.549557,12,,,,309,1,1578.1287,,AggieReverseGeocoder,,4.01,16015030,1202 E BELMONT AVE,Phoenix,AZ,85020,4538
5244,-112.056171,33.524058,5353,1900,18200,12TH ST & BETHANY HOME RD,Phoenix,1.54E+12,-112.056171,33.524058,12,,,,310,1,1015.628,,AggieReverseGeocoder,,4.01,16111006B,1212 E BETHANY HOME RD,Phoenix,AZ,85014,2031
5245,-112.0566234,33.56111474,5354,1901,10909,12TH ST & BUTLER DR,Phoenix,1.54E+12,-112.0566234,33.56111474,12,,,,311,1,921.8785,,AggieReverseGeocoder,,4.01,16065056,1201 E SELDON LN,Phoenix,AZ,85020,3260
5246,-112.056201,33.509753,5355,1902,10894,12TH ST & CAMELBACK RD,Phoenix,1.54E+12,-112.056201,33.509753,12,,,,312,1,984.3754,,AggieReverseGeocoder,,4.01,16213035A,1202 E CAMELBACK RD,Phoenix,AZ,85014,3309
5247,-112.056245,33.502234,5356,1903,10892,12TH ST & CAMPBELL AVE,Phoenix,1.54E+12,-112.056245,33.502234,12,,,,313,1,703.1286,,AggieReverseGeocoder,,4.01,15509174,4507 N 12TH ST,Phoenix,AZ,85014,4239
5248,-112.0562993,33.4914931,5357,1904,10888,12TH ST & CLARENDON AVE,Phoenix,1.54E+12,-112.0562993,33.4914931,12,,,,314,1,640.6236,,AggieReverseGeocoder,,4.01,11802090A,3805 N 12TH ST,Phoenix,AZ,85014,5110
5249,-112.056197,33.513301,5358,1905,10895,12TH ST & COLTER ST,Phoenix,1.54E+12,-112.056197,33.513301,12,,,,315,1,937.4905,,AggieReverseGeocoder,,4.01,16209021,1201 E OREGON AVE,Phoenix,AZ,85014,2909
