,StopID,Location_x,Juris_x,Type_,Direction,Address,City,ComputedState,Zipcode,ComputedZipPlus4,OBJECTID,NextRide,Location_y,Juris_y,Photo,Routes,Day_Category,Q2016_2,Q2016_3,Q2016_4,Q2017_1,Q2017_2,Q2017_3,Q2017_4,Q2018_12,Q2018_2,Q2018_3,Q42018,Q2019_1,Q2019_2,Per Capita Income,Population,Poverty Count,Poverty Rate
10641,2791.0,CENTRAL AVE & GEORGIA AVE,Phoenix,,,77 E MISSOURI AVE,Phoenix,AZ,85012.0,1376.0,7454.0,10102.0,CENTRAL AVE & GEORGIA AVE,Phoenix,, ZERO,Weekend,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,53630.0,7012.0,824.0,11.751283513976041
10642,2791.0,CENTRAL AVE & GEORGIA AVE,Phoenix,,,77 E MISSOURI AVE,Phoenix,AZ,85012.0,1376.0,15017.0,10102.0,CENTRAL AVE & GEORGIA AVE,Phoenix,, ZERO,Weekday,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,53630.0,7012.0,824.0,11.751283513976041
10643,2671.0,7TH ST & MONTECITO AVE,Phoenix,,,715 E MONTECITO AVE,Phoenix,AZ,85014.0,4322.0,7455.0,18050.0,7TH ST & MONTECITO AVE,Phoenix,,7,Weekend,8.0,7.0,7.0,8.0,6.0,16.0,16.0,15.0,9.0,10.0,8.0,8.0,9.0,33350.0,27395.0,5190.0,18.945062967694835
10644,2671.0,7TH ST & MONTECITO AVE,Phoenix,,,715 E MONTECITO AVE,Phoenix,AZ,85014.0,4322.0,15018.0,18050.0,7TH ST & MONTECITO AVE,Phoenix,,7,Weekday,24.0,24.0,24.0,25.0,15.0,27.0,23.0,43.0,21.0,25.0,24.0,22.0,23.0,33350.0,27395.0,5190.0,18.945062967694835
10645,2672.0,7TH ST & AIRE LIBRE AVE,Phoenix,,,705 E SANDRA TER,Phoenix,AZ,85022.0,2630.0,7456.0,10545.0,7TH ST & AIRE LIBRE AVE,Phoenix,,7,Weekend,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,19.0,33913.0,51426.0,6898.0,13.413448450200288
10646,2672.0,7TH ST & AIRE LIBRE AVE,Phoenix,,,705 E SANDRA TER,Phoenix,AZ,85022.0,2630.0,15019.0,10545.0,7TH ST & AIRE LIBRE AVE,Phoenix,,7,Weekday,1.0,1.0,1.0,2.0,1.0,2.0,1.0,4.0,1.0,2.0,3.0,7.0,34.0,33913.0,51426.0,6898.0,13.413448450200288
10647,2674.0,7TH ST & OSBORN RD,Phoenix,,,3407 N 7TH AVE,Phoenix,AZ,85013.0,3635.0,7457.0,10507.0,7TH ST & OSBORN RD,Phoenix,,7,Weekend,4.0,4.0,4.0,8.0,4.0,7.0,9.0,12.0,9.0,8.0,8.0,7.0,8.0,41512.0,20902.0,3136.0,15.003348961821835
10648,2674.0,7TH ST & OSBORN RD,Phoenix,,,3407 N 7TH AVE,Phoenix,AZ,85013.0,3635.0,15020.0,10507.0,7TH ST & OSBORN RD,Phoenix,,7,Weekday,11.0,11.0,11.0,18.0,10.0,18.0,16.0,29.0,16.0,13.0,19.0,15.0,15.0,41512.0,20902.0,3136.0,15.003348961821835
10649,2675.0,7TH ST & MINNEZONA AVE,Phoenix,,,4501 N 7TH ST,Phoenix,AZ,85014.0,3804.0,7458.0,10511.0,7TH ST & MINNEZONA AVE,Phoenix,,7,Weekend,4.0,4.0,4.0,5.0,5.0,10.0,9.0,13.0,5.0,4.0,4.0,4.0,5.0,33350.0,27395.0,5190.0,18.945062967694835
10650,2675.0,7TH ST & MINNEZONA AVE,Phoenix,,,4501 N 7TH ST,Phoenix,AZ,85014.0,3804.0,15021.0,10511.0,7TH ST & MINNEZONA AVE,Phoenix,,7,Weekday,13.0,13.0,13.0,15.0,7.0,14.0,12.0,28.0,13.0,10.0,10.0,12.0,10.0,33350.0,27395.0,5190.0,18.945062967694835
10651,2676.0,7TH ST & VIRGINIA AVE,Phoenix,,,2545 N 7TH ST,Phoenix,AZ,85006.0,1047.0,7459.0,10504.0,7TH ST & VIRGINIA AVE,Phoenix,,7,Weekend,5.0,5.0,5.0,6.0,5.0,13.0,12.0,16.0,6.0,8.0,7.0,6.0,6.0,18335.0,28176.0,10734.0,38.09625212947189
10652,2676.0,7TH ST & VIRGINIA AVE,Phoenix,,,2545 N 7TH ST,Phoenix,AZ,85006.0,1047.0,15022.0,10504.0,7TH ST & VIRGINIA AVE,Phoenix,,7,Weekday,14.0,14.0,14.0,20.0,12.0,22.0,18.0,30.0,14.0,13.0,14.0,15.0,15.0,18335.0,28176.0,10734.0,38.09625212947189
10653,2681.0,83RD AVE & ENCANTO BLVD,Phoenix,,,2317 N 83RD DR,Avondale,AZ,85037.0,3742.0,7460.0,11493.0,83RD AVE & ENCANTO BLVD,Phoenix,,83,Weekend,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,3.0,2.0,1.0,2.0,18297.0,55567.0,9161.0,16.486403800817033
