Column1,X,Y,StopID,Location,Juris,Type_,Long,Lat,State,Zipcode,City,StreetAddress,AUTO_UNIQUE_ID_2020-07-28_czc5230_bus_4,UpdatedReverseGeocoding,TimeTaken,TransactionId,Source,ErrorMessage,Version,ComputedAPN,ComputedStreetAddress,ComputedCity,ComputedState,ComputedZip,ComputedZipPlus4
5440,-111.9954332,33.38157384,20021,40TH ST & FREMONT DR,Phoenix,,-111.9954332,33.38157384,AZ, , , ,941,1,375.0012,,AggieReverseGeocoder,,4.01,12318205,4002 E FREMONT ST,Phoenix,AZ,85042,6365
5441,-111.9954285,33.37871032,20020,40TH ST & BASELINE RD,Phoenix,,-111.9954285,33.37871032,AZ, , , ,942,1,359.4016,,AggieReverseGeocoder,,4.01,12318220,7438 S 41ST ST,Phoenix,AZ,85042,6303
5442,-112.029424,33.379551,183,24TH/BASELINE PNR,Phoenix,,-112.029424,33.379551,AZ, , , ,943,1,312.4987,,AggieReverseGeocoder,,4.01,12295009,2420 E BASELINE RD,Phoenix,AZ,85042,7031
5443,-112.029404,33.379397,183,24TH/BASELINE PNR,Phoenix,,-112.029404,33.379397,AZ, , , ,944,1,312.4971,,AggieReverseGeocoder,,4.01,12295009,2420 E BASELINE RD,Phoenix,AZ,85042,7031
5444,-111.82277,33.434798,4494,MESA DR & BROWN RD,Mesa,,-111.82277,33.434798,AZ, , , ,945,1,546.874,,AggieReverseGeocoder,,4.01,13719687B,339 E BROWN RD,Globe,AZ,85201,3513
5445,-111.822799,33.432701,4677,MESA DR & 10TH PL,Mesa,,-111.822799,33.432701,AZ, , , ,946,1,562.5031,,AggieReverseGeocoder,,4.01,13720354,930 N MESA DR,Globe,AZ,85201,4321
5446,-111.822827,33.430997,4683,MESA DR & WEDGEWOOD DR,Mesa,,-111.822827,33.430997,AZ, , , ,947,1,562.5012,,AggieReverseGeocoder,,4.01,13719002C,848 N MESA DR,Globe,AZ,85201,4302
5447,-112.1692,33.41894516,20051,51ST AVE & MIAMI ST,Phoenix,,-112.1692,33.41894516,AZ, , , ,948,1,796.8743,,AggieReverseGeocoder,,4.01,10444030,3121 S 51ST AVE,Phoenix,AZ,85043,6208
5448,-112.1694472,33.4180071,20031,51ST AVE & MIAMI AVE,Phoenix,,-112.1694472,33.4180071,AZ, , , ,949,1,812.5014,,AggieReverseGeocoder,,4.01,10445004,3410 S 51ST AVE,Phoenix,AZ,85043,6200
5449,-112.169474,33.41467127,20032,51ST AVE & ELWOOD ST,Phoenix,,-112.169474,33.41467127,AZ, , , ,950,1,796.8778,,AggieReverseGeocoder,,4.01,10459138,5108 W FULTON ST,Phoenix,AZ,85043,1997
5450,-112.1691705,33.41464778,20050,51ST AVE & ELWOOD ST,Phoenix,,-112.1691705,33.41464778,AZ, , , ,951,1,796.8792,,AggieReverseGeocoder,,4.01,10444005B,3433 S 51ST AVE,Phoenix,AZ,85043,6211
5451,-112.169321,33.41113604,20033,51ST AVE & BROADWAY RD,Phoenix,,-112.169321,33.41113604,AZ, , , ,952,1,812.4974,,AggieReverseGeocoder,,4.01,10459001K,4002 S 51ST AVE,Phoenix,AZ,85043,6309
