,Unnamed: 0,X,Y,StopID,Location,Juris,Type_,Long,Lat,Zipcode,City,Street Address
446,1195,-111.943006536334,33.4274409344035,5020.0,ASH AVE & 3RD ST,Tempe,Standard,-111.943006536334,33.4274409344035, , , 
447,1196,-111.942948652089,33.42539275563061,996.0,5TH ST & ASH AVE,Tempe,Standard,-111.942948652089,33.42539275563061, , , 
448,1197,-111.94069836490299,33.425404857528896,997.0,5TH ST & MAPLE AVE,Tempe,Standard,-111.94069836490299,33.425404857528896, , , 
449,1198,-111.93881786995199,33.42537017453511,11.0,5TH ST & MYRTLE AVE,Tempe,Standard,-111.93881786995199,33.42537017453511, , , 
450,1199,-111.955814398846,33.442861058789,3033.0,PRIEST DR & WASHINGTON ST,Tempe,Standard,-111.955814398846,33.442861058789, , , 
451,1200,-111.955212554346,33.4442194514814,4726.0,PRIEST DR & CENTER PKWY,Tempe,Standard,-111.955212554346,33.4442194514814, , , 
452,1201,-111.95745785660601,33.4423293756168,4729.0,PRIEST DR & WASHINGTON ST,Tempe,Standard,-111.95745785660601,33.4423293756168, , , 
453,1202,-111.961147150195,33.42895911949,5247.0,PRIEST DR & RIO SALADO PKWY,Tempe,Standard,-111.961147150195,33.42895911949, , , 
454,1203,-111.961156622668,33.4253278027158,5233.0,PRIEST DR & 5TH ST,Tempe,Standard,-111.961156622668,33.4253278027158, , , 
455,1204,-111.961069726264,33.4212667445659,5250.0,PRIEST DR & UNIVERSITY DR,Tempe,Standard,-111.961069726264,33.4212667445659, , , 
456,1205,-111.96099469301599,33.4173732823472,5230.0,PRIEST DR & 11TH ST,Tempe,Standard,-111.96099469301599,33.4173732823472, , , 
457,1206,-111.960987076921,33.4149579789403,7651.0,PRIEST DR & 13TH ST,Tempe,Standard,-111.960987076921,33.4149579789403, , , 
458,1207,-111.960954075842,33.4128558429567,5232.0,PRIEST DR & 14TH ST,Tempe,Standard,-111.960954075842,33.4128558429567, , , 
459,1208,-111.96095419278299,33.410139398068196,5229.0,PRIEST DR & 18TH ST,Tempe,Standard,-111.96095419278299,33.410139398068196, , , 
460,1209,-111.960901730273,33.4069959218392,5240.0,PRIEST DR & BROADWAY RD,Tempe,Standard,-111.960901730273,33.4069959218392, , , 
461,1210,-111.960900081502,33.4040034827957,7652.0,PRIEST DR & FOUNTAINHEAD PKWY,Tempe,Standard,-111.960900081502,33.4040034827957, , , 
462,1211,-111.960901536054,33.399857832060796,5235.0,PRIEST DR & ALAMEDA DR,Tempe,Standard,-111.960901536054,33.399857832060796, , , 
463,1212,-111.960956321577,33.3961695093612,5243.0,PRIEST DR & FAIRMONT DR,Tempe,Standard,-111.960956321577,33.3961695093612, , , 
464,1213,-111.960961027463,33.3921570835127,5248.0,PRIEST DR & SOUTHERN AVE,Tempe,Standard,-111.960961027463,33.3921570835127, , , 
465,1214,-111.960982446096,33.389967570764,5245.0,PRIEST DR & LA JOLLA DR,Tempe,Standard,-111.960982446096,33.389967570764, , , 
466,1215,-111.96108387798701,33.388417759962,7654.0,PRIEST DR & US 60,Tempe,Standard,-111.96108387798701,33.388417759962, , , 
467,1223,-111.96330787811002,33.3597847998777,4946.0,56TH ST & CARMEN ST,Tempe,Standard,-111.96330787811002,33.3597847998777, , , 
468,1224,-111.963296414536,33.357773248379196,5239.0,PRIEST DR & BELL DE MAR DR,Tempe,Standard,-111.963296414536,33.357773248379196, , , 
469,1225,-111.96327141043,33.35534168583749,5242.0,PRIEST DR & DRAKE DR,Tempe,Standard,-111.96327141043,33.35534168583749, , , 
470,1226,-111.963313325975,33.3525249698426,5249.0,PRIEST DR & TODD DR,Tempe,Standard,-111.963313325975,33.3525249698426, , , 
471,1227,-111.96292890639201,33.351177682082,5244.0,PRIEST DR & GROVE PKWY,Tempe,Standard,-111.96292890639201,33.351177682082, , , 
472,1228,-111.96331359789,33.3486247864864,9449.0,S PRIEST DR & W ELLIOT RD,Tempe,Standard,-111.96331359789,33.3486247864864, , , 
473,1229,-111.96329543716101,33.345145760855395,9450.0,S PRIEST DR & W AUTO DR,Tempe,Standard,-111.96329543716101,33.345145760855395, , , 
474,1230,-111.96335536116501,33.3396742577742,9451.0,S PRIEST DR & W RUBY DR,Tempe,Standard,-111.96335536116501,33.3396742577742, , , 
475,1231,-111.963296109788,33.3341265723623,9452.0,S PRIEST DR & W WARNER RD,Tempe,Standard,-111.963296109788,33.3341265723623, , , 
476,1232,-111.96293449807699,33.320829365415605,9444.0,S PRIEST DR & W RAY RD,Tempe,Standard,-111.96293449807699,33.320829365415605, , , 
