JANUARY 2020 MONTHLY RIDERSHIP REPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SERVICE,ROUTE,CITY,Avg Full Fare,Avg Exp Fare,Avg Reduced Fare,Avg Full Fare Pass,Avg Reduced Pass,Avg Monthly Pass,Avg Free,Avg Bikes,Avg W/C, Avg Daily Boardings, Total Boardings ,Daily Revenue Miles,Total Rev. Miles,Boardings Per Rev Mile,1/19 - Avg Daily,% Difference,,,,,,,,,,,,,,,,,,,,,,
SU,16,Phx,72,0,54,413,726,103,36,45,18,"1,404","7,017","1,703.9","8,519.5",0.8," 1,506 ",-6.8%,,,,,,,,,,,,,,,,,,,,,,
SU,17,Phx,174,0,117,655,"1,255",139,134,61,20,"2,474","12,369","1,337.5","6,687.5",1.8," 2,447 ",1.1%,,,,,,,,,,,,,,,,,,,,,,
SU,17,Sct,12,0,6,39,53,7,8,5,1,125,622,168.7,843.5,0.7, 162 ,-22.8%,,,,,,,,,,,,,,,,,,,,,,
SU,17,Tol,11,0,5,24,40,4,8,4,0,92,460,73.3,366.5,1.3, *November 2020 ,*November 2020,,,,,,,,,,,,,,,,,,,,,,
SU,19,Phx,131,0,118,837,"1,568",160,100,84,22,"2,914","14,572","1,941.4","9,707.0",1.5," 2,893 ",0.7%,,,,,,,,,,,,,,,,,,,,,,
SU,27,Phx,96,0,83,493,841,98,58,33,8,"1,669","8,347","1,702.6","8,512.8",1.0," 1,855 ",-10.0%,,,,,,,,,,,,,,,,,,,,,,
SU,28,Phx,7,0,3,24,49,7,3,4,0,93,474,495.5,"2,477.5",0.2, 69 ,34.8%,,,,,,,,,,,,,,,,,,,,,,
SU,29,Phx,146,0,118,655,"1,380",157,103,62,19,"2,559","12,797","1,320.2","6,601.0",1.9," 2,841 ",-9.9%,,,,,,,,,,,,,,,,,,,,,,
SU,29,Sct,14,0,9,41,58,6,3,6,1,131,660,223.9,"1,119.5",0.6, 206 ,-36%,,,,,,,,,,,,,,,,,,,,,,
SU,30,Phx†,6,0,1,16,42,6,3,2,0,74,372,201.3,"1,006.5",0.4, 47 ,57.4%,,,,,,,,,,,,,,,,,,,,,,
SU,30,Tem,8,0,4,29,49,7,7,2,0,104,517,170.2,851.0,0.6, 89 ,16.9%,,,,,,,,,,,,,,,,,,,,,,
SU,32,Phx,30,0,23,233,396,43,36,18,5,761,"3,804",970.7,"4,853.5",0.8, 718 ,6.0%,,,,,,,,,,,,,,,,,,,,,,
SU,32,Tem,3,0,2,11,21,3,3,1,0,43,214,66.5,332.5,0.6, 83 ,-48.2%,,,,,,,,,,,,,,,,,,,,,,
SU,35,Phx,155,0,118,610,"1,156",93,86,81,21,"2,218","11,088","2,087.3","10,436.5",1.1," 2,422 ",-8.4%,,,,,,,,,,,,,,,,,,,,,,
SU,39,Phx,10,0,3,38,36,12,6,5,0,105,520,540.6,"2,703.0",0.2, 102 ,2.9%,,,,,,,,,,,,,,,,,,,,,,
SU,40,Mes,48,0,47,183,458,31,33,52,13,800,"4,001",881.3,"4,406.5",0.9, 952 ,-16.0%,,,,,,,,,,,,,,,,,,,,,,
