X,Y,OBJECTID,StopID,NextRide,Location,Juris,Shelter,Bench,TrashCan,BusBay,BikeRack,WaterFountain,PublicArt,ADA,Bathroom,Lighting,Em_Call,Info_Display,Type_,DateUpdated,Sidewalk,Photo,ATIS_ID,Direction,Long,Lat,Routes
-111.8051491,33.43394634,106,3098,16099,STAPLEY DR & FAIRFIELD ST,Mesa,0,0,0,No,0,No,No,No,No,No,No,No,Standard,1.54115E+12,Yes,https://farm8.staticflickr.com/7419/16497659065_ea2666be1d_o.jpg,3112,Northbound,-111.8051491,33.43394634,128
-111.7880808,33.43360448,108,4602,16260,GILBERT RD & FAIRFIELD ST,Mesa,0,0,0,No,0,No,No,No,No,No,No,No,Standard,1.54115E+12,Yes,https://farm8.staticflickr.com/7402/16311750607_f63fcbf924_o.jpg,4616,Southbound,-111.7880808,33.43360448,136
-111.7879108,33.42340347,110,2895,16206,GILBERT RD & UNIVERSITY DR,Mesa,1,2,1,Yes,2,No,No,Yes,No,No,No,Yes,Standard,1.54115E+12,Yes,https://farm8.staticflickr.com/7445/16496678172_b5a82d177f_o.jpg,2909,Northbound,-111.7879108,33.42340347,136
-111.6843188,33.44778478,111,4722,16746,POWER RD & INGLEWOOD ST,Mesa,0,0,0,No,0,No,No,Yes,No,No,No,No,Standard,1.54115E+12,Yes,https://farm9.staticflickr.com/8570/16496672422_b41f4edbe6_o.jpg,4736,Southbound,-111.6843188,33.44778478,184
-111.6842414,33.42354215,113,3032,16738,POWER RD & UNIVERSITY DR,Mesa,1,1,1,Yes,2,No,No,Yes,No,No,No,No,Standard,1.54115E+12,Yes,https://farm8.staticflickr.com/7397/15877540093_f09b6ebea6_o.jpg,3046,Northbound,-111.6842414,33.42354215,184
-111.6849446,33.39355196,114,5220,12579,POWER RD & SOUTHERN AVE,Mesa,0,0,0,No,0,No,No,No,No,No,No,No,Standard,1.54115E+12,Yes,https://farm8.staticflickr.com/7372/16311403119_6a5104d57e_o.jpg,5234,Southbound,-111.6849446,33.39355196,40 | 45 | 61 | 184
-111.8051472,33.42998132,116,3100,16098,STAPLEY DR & 8TH ST,Mesa,0,0,0,No,0,No,No,No,No,No,No,No,Standard,1.54115E+12,Yes,https://farm8.staticflickr.com/7400/16471660076_0bdb7958a9_o.jpg,3114,Northbound,-111.8051472,33.42998132,128
-111.7874156,33.45625082,117,9145,18233,N GILBERT RD & E LOCKWOOD ST,Mesa,0,0,0,No,0,No,No,No,No,No,No,No,Standard,1.54115E+12,Yes,https://farm8.staticflickr.com/7379/16311735227_0615fa3fd0_o.jpg,11645,Northbound,-111.7874156,33.45625082,136
-111.7878826,33.43041239,119,2885,16208,GILBERT RD & ADOBE ST,Mesa,0,0,0,No,0,No,No,No,No,No,No,No,Standard,1.54115E+12,Yes,https://farm8.staticflickr.com/7354/15875125194_6ea5b65b42_o.jpg,2899,Northbound,-111.7878826,33.43041239,136
-111.7885338,33.39286302,120,5097,16272,GILBERT RD & SOUTHERN AVE,Mesa,1,2,1,Yes,0,No,No,Yes,No,Yes,No,Yes,Standard,1.54115E+12,Yes,https://farm8.staticflickr.com/7302/15875118174_3111d9b564_o.jpg,5111,Southbound,-111.7885338,33.39286302,136
-111.683339,33.470936,121,9090,18250,POWER RD PARK AND RIDE,Mesa,3,5,5,Yes,5,Yes,No,Yes,No,Yes,Yes,Yes,Standard,1.54115E+12,Yes,https://farm8.staticflickr.com/7312/16496658102_0e4177d94e_o.jpg,11460,Other,-111.683339,33.470936,184 | 535
-111.7880907,33.39424798,125,3368,16198,GILBERT RD & SOUTHERN AVE,Mesa,1,2,1,No,0,No,No,Yes,No,Yes,No,Yes,Standard,1.54115E+12,Yes,https://farm8.staticflickr.com/7398/16311384349_e6e9ca91ac_o.jpg,3382,Northbound,-111.7880907,33.39424798,136
-111.6850085,33.3908536,127,5222,12580,POWER RD & HAMPTON AVE,Mesa,0,0,0,No,0,No,No,No,No,No,No,No,Standard,1.54115E+12,Yes,https://farm8.staticflickr.com/7295/16309949088_941cc5d935_o.jpg,5236,Southbound,-111.6850085,33.3908536,40 | 45 | 61 | 184
-111.7882528,33.42643844,129,4600,16262,GILBERT RD & DECATUR ST,Mesa,0,0,0,No,0,No,No,No,No,No,No,No,Standard,1.54115E+12,Yes,https://farm8.staticflickr.com/7371/15875119864_716d87b6f4_o.jpg,4614,Southbound,-111.7882528,33.42643844,136
-111.6846654,33.41859097,130,4719,16751,POWER RD & ALBANY ST,Mesa,0,1,1,No,0,No,No,Yes,No,No,No,No,Standard,1.54115E+12,Yes,https://farm8.staticflickr.com/7396/16311382999_9bbcf15b70_o.jpg,4733,Southbound,-111.6846654,33.41859097,184
-111.827462,33.4295319,133,9587,16497,8TH ST- FITCH PARK,Mesa,1,2,1,No,2,No,No,Yes,No,No,No,No,Standard,1.54115E+12,Yes,https://farm9.staticflickr.com/8711/16327543833_3434270ff5_o.jpg,,Eastbound,-111.827462,33.4295319,120 | BUZZ
-111.7985329,33.45135002,134,9588,16867,BARKLEY & MCKELLIPS,Mesa,0,0,0,No,0,No,No,No,No,No,No,No,Standard,1.54115E+12,Yes,https://farm8.staticflickr.com/7442/15875102414_b820f52196_o.jpg,,Southbound,-111.7985329,33.45135002,128
-111.684357,33.44436733,136,9590,16920,POWER RD & MCLELLAN RD,Mesa,0,0,0,No,0,No,No,No,No,No,No,No,Standard,1.54115E+12,Yes,https://farm8.staticflickr.com/7449/16311722587_2f39e8f736_o.jpg,,Southbound,-111.684357,33.44436733,184
-111.6840092,33.44413963,138,9591,16912,POWER RD & MCLELLAN RD,Mesa,0,0,0,No,0,No,No,No,No,No,No,No,Standard,1.54115E+12,Yes,https://farm8.staticflickr.com/7453/15877517513_f5c015219d_o.jpg,,Northbound,-111.6840092,33.44413963,184
-111.805143,33.4372928,140,3101,16100,STAPLEY DR & BROWN RD,Mesa,0,0,0,No,0,No,No,No,No,No,No,No,Standard,1.54115E+12,Yes,https://farm8.staticflickr.com/7403/16309956888_7c0fc07d27_o.jpg,3115,Northbound,-111.805143,33.4372928,128
-111.7879291,33.43989205,141,4603,16241,GILBERT RD & GRANDVIEW ST,Mesa,0,0,0,No,0,No,No,No,No,No,No,No,Standard,1.54115E+12,,https://farm8.staticflickr.com/7373/16311405619_f9e55732b4_o.jpg,4617,Southbound,-111.7879291,33.43989205,136
-111.6844891,33.43674964,143,4721,16747,POWER RD & BROWN RD,Mesa,0,0,0,No,0,No,No,Yes,No,No,No,No,Standard,1.54115E+12,Yes,https://farm9.staticflickr.com/8594/16497679545_f66d7415b5_o.jpg,4735,Southbound,-111.6844891,33.43674964,184
-111.7878856,33.44409323,144,4609,16240,GILBERT RD & MCLELLAN RD,Mesa,0,0,0,No,0,No,No,No,No,No,No,No,Standard,1.54115E+12,Yes,https://farm8.staticflickr.com/7456/16309951708_95cee05ea9_o.jpg,4623,Southbound,-111.7878856,33.44409323,136
-111.6848346,33.39862795,145,5218,12578,POWER RD & VIA ROSSMOOR BLVD,Mesa,0,1,1,No,0,No,No,Yes,No,No,No,No,Standard,1.54115E+12,Yes,https://farm8.staticflickr.com/7305/16310218740_ce0406d2bf_o.jpg,5232,Southbound,-111.6848346,33.39862795,40 | 45 | 184
-111.7876445,33.4442843,146,9143,18232,N GILBERT RD & E HALE ST,Mesa,0,0,0,No,0,No,No,No,No,No,No,No,Standard,1.54115E+12,Yes,https://farm8.staticflickr.com/7321/16311735277_d20903808e_o.jpg,11643,Northbound,-111.7876445,33.4442843,136
-111.7884634,33.4114489,147,5088,16890,GILBERT RD & 2ND AVE,Mesa,0,0,0,No,0,No,No,Yes,No,No,No,No,Standard,1.54115E+12,Yes,https://farm8.staticflickr.com/7305/16311404249_98e683bce8_o.jpg,5102,Southbound,-111.7884634,33.4114489,136
-111.8051669,33.42620553,148,3108,16097,STAPLEY DR & DOVER ST,Mesa,0,0,0,No,0,No,No,No,No,No,No,No,Standard,1.54115E+12,Yes,https://farm8.staticflickr.com/7417/16497684345_3e0a4fb12c_o.jpg,3122,Northbound,-111.8051669,33.42620553,128
-111.6839243,33.45199508,149,9504,16743,MCKELLIPS & POWER RD,Mesa,0,0,0,No,0,No,No,No,No,No,No,No,Standard,1.54115E+12,Yes,https://farm8.staticflickr.com/7299/16309934588_72920948e3_o.jpg,11435,Northbound,-111.6839243,33.45199508,184
-111.78942,33.45896472,153,4605,18160,GILBERT RD & HERMOSA VISTA DR ,Mesa,0,0,0,No,0,No,No,No,No,No,No,No,Standard,1.54115E+12,Yes,https://farm8.staticflickr.com/7304/16495941321_b3c8725e7c_o.jpg,11453,Southbound,-111.78942,33.45896472,136
-111.8051855,33.41906901,154,3099,16095,STAPLEY DR & 2ND ST,Mesa,0,0,0,No,0,No,No,Yes,No,No,No,No,Standard,1.54115E+12,Yes,https://farm8.staticflickr.com/7453/16497684425_3576c4127b_o.jpg,3113,Northbound,-111.8051855,33.41906901,128
-111.7881729,33.3840596,155,3371,16196,GILBERT RD & INVERNESS AVE,Mesa,0,0,0,No,0,No,No,No,No,No,No,No,Standard,1.54115E+12,Yes,https://farm8.staticflickr.com/7418/16311754857_12f62282d4_o.jpg,3385,Northbound,-111.7881729,33.3840596,136
-111.6841552,33.46590583,156,8634,16987,POWER RD & MCDOWELL RD,Mesa,0,0,0,No,0,No,No,No,No,No,No,No,Standard,1.54115E+12,Yes,https://farm8.staticflickr.com/7358/16496661032_66b588c01f_o.jpg,10926,Southbound,-111.6841552,33.46590583,184
-111.7885025,33.41483958,157,5095,16266,GILBERT RD & MAIN ST,Mesa,1,2,1,No,0,No,No,Yes,No,Yes,No,Yes,Standard,1.54115E+12,Yes,https://farm9.staticflickr.com/8567/16496650242_2d9fa85c39_o.jpg,5109,Southbound,-111.7885025,33.41483958,136
-111.6843717,33.45108812,158,4723,16745,POWER RD & MCKELLIPS RD,Mesa,0,1,1,Yes,0,No,No,Yes,No,No,No,No,Standard,1.54115E+12,Yes,https://farm8.staticflickr.com/7299/16309928518_bc8d8dcb88_o.jpg,4737,Southbound,-111.6843717,33.45108812,184
-111.6842299,33.45869842,160,9140,18301,N POWER RD & E HERMOSA VISTA DR,Mesa,0,0,0,No,0,No,No,No,No,No,No,No,Standard,1.54115E+12,Yes,https://farm8.staticflickr.com/7413/16311378029_057a465970_o.jpg,11658,Southbound,-111.6842299,33.45869842,184
-111.8048201,33.44845443,162,3104,16103,STAPLEY DR & JENSEN ST,Mesa,1,1,1,No,2,No,No,Yes,No,No,No,No,Standard,1.54115E+12,Yes,https://farm8.staticflickr.com/7365/16311755477_f3c2510f79_o.jpg,3118,Northbound,-111.8048201,33.44845443,128
-111.8038463,33.45133795,164,533,16104,MCKELLIPS RD & STAPLEY DR,Mesa,0,1,1,Yes,0,No,No,Yes,No,No,No,No,Standard,1.54115E+12,Yes,https://farm5.staticflickr.com/4557/26516865739_e855ba95b3_o.jpg,549,Eastbound,-111.8038463,33.45133795,128
-111.8052997,33.39649319,165,3557,16089,STAPLEY DR & EMERALD AVE,Mesa,0,0,0,No,0,No,No,No,No,No,No,No,Standard,1.54115E+12,Yes,https://farm8.staticflickr.com/7320/16311408669_f33f741fe2_o.jpg,3571,Northbound,-111.8052997,33.39649319,128
-111.787442,33.45222917,166,9144,18162,N GILBERT RD & E MCKELLIPS RD,Mesa,0,0,0,No,0,No,No,No,No,No,No,No,Standard,1.54115E+12,Yes,https://farm8.staticflickr.com/7326/16496657742_34d68cb48c_o.jpg,11644,Northbound,-111.787442,33.45222917,136
-111.7863275,33.46750544,167,9089,18251,GILBERT MCDOWELL PARK AND RIDE,Mesa,5,5,3,Yes,4,Yes,Yes,Yes,No,Yes,Yes,Yes,Park and Ride,1.54115E+12,Yes,https://farm8.staticflickr.com/7336/16471666256_d7cfe8d43a_o.jpg,11457,Other,-111.7863275,33.46750544,136 | 535
